epoch	pi-loss	q-loss	average-q-values	std-q-values	max-q-values	min-q-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	-15.260921	1.2287478	12.347298	3.8304	23.19937	3.3266966	-176.73578	0.0	-176.73578	-176.73578	1000.0	4000
2	-72.27993	8.104961	70.16542	7.4425054	99.697395	51.777847	-445.64102	0.0	-445.64102	-445.64102	1000.0	8000
3	-89.24135	3.3978736	87.561615	9.681204	130.4299	68.91597	-612.75104	0.0	-612.75104	-612.75104	1000.0	12000
4	-88.3685	4.115503	87.267746	13.959417	112.77759	64.23378	-645.2409	0.0	-645.2409	-645.2409	1000.0	16000
5	-82.44267	2.2372177	81.971855	18.38569	109.639854	55.604267	343.5962	0.0	343.5962	343.5962	1000.0	20000
6	-85.60522	3.6052027	83.99917	22.979963	122.02279	49.445198	982.55145	0.0	982.55145	982.55145	1000.0	24000
7	-100.3026	4.1000094	98.8907	27.011448	148.19968	50.367447	1553.2722	0.0	1553.2722	1553.2722	1000.0	28000
8	-113.85355	3.9519937	112.232635	35.82802	167.98499	55.929813	-125.25755	0.0	-125.25755	-125.25755	1000.0	32000
9	-133.7409	5.9972205	131.44197	45.762344	206.55542	50.717957	1937.2847	0.0	1937.2847	1937.2847	1000.0	36000
10	-149.75371	8.169121	147.83437	50.223537	216.12907	50.765835	1806.1438	0.0	1806.1438	1806.1438	1000.0	40000
