epoch	pi-loss	q-loss	average-q-values	std-q-values	max-q-values	min-q-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	total-env-interacts
1	-5.3767233	0.34828773	4.2560673	4.0842104	23.6468	-4.2467203	-267.01825	43.2248	-199.63756	-310.53482	1000.0	-524.28455	102.51062	-312.09714	-621.73285	1000.0	4000
2	-23.903587	1.3403627	21.726011	19.14785	79.83748	-4.2467203	-344.73572	102.12911	-199.63756	-541.1676	1000.0	-510.93195	103.114426	-225.29974	-621.73285	1000.0	8000
3	-37.790855	2.0638306	35.80281	26.166859	106.68797	-4.2467203	-386.69434	179.2359	-31.644455	-657.0482	1000.0	-421.92084	184.6455	119.78662	-621.73285	1000.0	12000
4	-45.205647	2.264661	43.450665	28.343534	111.739815	-4.2467203	-313.98184	212.73657	142.11423	-657.0482	1000.0	-349.25885	229.50226	163.40227	-621.73285	1000.0	16000
5	-50.62981	2.351091	49.029213	30.096422	119.00787	-4.2467203	-175.58336	339.79453	516.70435	-657.0482	1000.0	-211.50705	346.22623	471.32388	-621.73285	1000.0	20000
6	-55.81678	2.507701	54.291656	32.04916	146.60135	-4.2467203	22.82808	573.1998	1552.857	-657.0482	1000.0	71.538734	713.3098	1886.0493	-621.73285	1000.0	24000
7	-61.67028	2.7572982	60.16763	35.24438	168.83397	-4.2467203	247.40771	768.19025	1768.4231	-657.0482	1000.0	279.69885	875.8992	2162.753	-621.73285	1000.0	28000
8	-68.35338	3.051031	66.85498	39.755844	189.97112	-4.2467203	365.0132	817.0974	1768.4231	-657.0482	1000.0	413.90753	937.9932	2303.081	-621.73285	1000.0	32000
9	-75.552956	3.347744	74.05957	45.05661	208.64795	-4.2467203	546.48346	928.62976	2216.5874	-657.0482	1000.0	568.484	1005.99835	2324.0	-621.73285	1000.0	36000
10	-83.22731	3.6455345	81.73255	50.87564	240.72186	-4.2467203	718.8789	1022.749	2481.7595	-657.0482	1000.0	707.17206	1055.9878	2737.0757	-621.73285	1000.0	40000
11	-91.24924	4.005953	89.74993	56.99549	262.10062	-4.2467203	809.58496	1032.5208	2481.7595	-657.0482	1000.0	887.39374	1159.247	3017.5234	-621.73285	1000.0	44000
12	-99.33133	4.407192	97.82637	63.13124	294.58862	-4.2467203	965.87714	1118.7919	2977.3572	-657.0482	1000.0	997.8527	1195.6865	3316.5103	-621.73285	1000.0	48000
13	-107.580055	4.825872	106.0638	69.39824	315.31763	-4.2467203	1077.7275	1169.8099	3066.3704	-657.0482	1000.0	1139.3497	1265.9741	3329.0288	-621.73285	1000.0	52000
14	-115.97019	5.2299623	114.44379	75.76599	334.82788	-4.2467203	1222.637	1243.814	3415.9214	-657.0482	1000.0	1292.509	1356.1069	3689.656	-621.73285	1000.0	56000
15	-124.5181	5.6235414	122.977776	82.18416	353.21704	-4.2467203	1347.8893	1289.9915	3415.9214	-657.0482	1000.0	1391.6869	1420.5638	3690.4468	-621.73285	1000.0	60000
16	-133.12418	6.021944	131.5698	88.431694	370.6977	-4.2467203	1461.0355	1325.9059	3429.8	-657.0482	1000.0	1535.2904	1484.1594	3914.3025	-621.73285	1000.0	64000
17	-141.78638	6.40941	140.21532	94.50242	390.23227	-4.2467203	1571.3798	1361.5065	3628.9167	-657.0482	1000.0	1668.3395	1535.9625	4021.9976	-621.73285	1000.0	68000
18	-150.46635	6.781423	148.87936	100.380104	405.59207	-4.2467203	1671.3959	1390.1189	3695.3816	-657.0482	1000.0	1769.0669	1563.9435	4021.9976	-621.73285	1000.0	72000
19	-159.03647	7.149363	157.43617	105.947945	420.98654	-4.2467203	1727.7551	1422.4059	3695.3816	-657.0482	1000.0	1875.0248	1589.405	4057.452	-621.73285	1000.0	76000
20	-167.39777	7.50248	165.78577	111.09135	437.4139	-4.2467203	1827.8041	1453.4844	3840.0732	-657.0482	1000.0	1974.2766	1608.7549	4089.696	-621.73285	1000.0	80000
21	-175.60263	7.8232346	173.97829	115.8701	447.99905	-4.2467203	1921.0636	1478.6555	3900.9688	-657.0482	1000.0	2049.141	1607.6963	4089.696	-621.73285	1000.0	84000
22	-183.65407	8.096007	182.01788	120.28414	456.75217	-4.2467203	2008.0728	1498.9073	4022.4468	-657.0482	1000.0	2133.5625	1620.7588	4250.812	-621.73285	1000.0	88000
23	-191.5349	8.34067	189.88904	124.36773	467.6359	-4.2467203	2093.5154	1519.7861	4031.1724	-657.0482	1000.0	2193.4402	1619.7268	4250.812	-621.73285	1000.0	92000
24	-199.221	8.57686	197.56592	128.11783	480.91553	-4.2467203	2173.587	1537.0482	4287.2734	-657.0482	1000.0	2264.4702	1630.1261	4306.143	-621.73285	1000.0	96000
25	-206.69913	8.792478	205.03714	131.58904	486.57135	-4.2467203	2251.2698	1553.7756	4296.8286	-657.0482	1000.0	2343.3596	1643.8788	4536.0967	-621.73285	1000.0	100000
26	-213.97095	9.004999	212.30031	134.80634	495.02792	-4.2467203	2323.8901	1566.33	4296.8286	-657.0482	1000.0	2404.6448	1648.2412	4536.0967	-621.73285	1000.0	104000
27	-221.0983	9.204837	219.4191	137.8283	503.067	-4.2467203	2391.558	1575.6692	4296.8286	-657.0482	1000.0	2473.1577	1654.8729	4536.0967	-621.73285	1000.0	108000
28	-228.08054	9.40817	226.39151	140.6839	510.67993	-4.2467203	2463.5725	1592.1183	4599.0454	-657.0482	1000.0	2539.0989	1664.3304	4973.505	-621.73285	1000.0	112000
29	-234.94205	9.605893	233.24374	143.43617	530.24884	-4.2467203	2532.7754	1606.8179	4599.0454	-657.0482	1000.0	2609.6455	1683.4585	5020.063	-621.73285	1000.0	116000
30	-241.66908	9.794457	239.96156	146.08849	538.6836	-4.2467203	2603.358	1624.9957	4805.91	-657.0482	1000.0	2687.1992	1709.6188	5286.1025	-621.73285	1000.0	120000
31	-248.27563	9.965206	246.55925	148.66289	550.2072	-4.2467203	2671.5908	1641.8104	4917.181	-657.0482	1000.0	2763.369	1733.0317	5286.1025	-621.73285	1000.0	124000
32	-254.78636	10.126412	253.0597	151.20097	560.3282	-4.2467203	2743.0144	1664.3826	5122.474	-657.0482	1000.0	2838.6626	1756.5342	5288.236	-621.73285	1000.0	128000
33	-261.208	10.286538	259.47208	153.69627	571.17456	-4.2467203	2800.0186	1671.0382	5122.474	-657.0482	1000.0	2897.6057	1761.9276	5288.236	-621.73285	1000.0	132000
