epoch	pi-loss	q-loss	average-q-values	std-q-values	max-q-values	min-q-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	total-env-interacts
1	-10.348875	0.77924645	9.564851	6.577416	44.636814	-8.677696	16.06591	11.421596	79.230354	3.2754288	20.408163	-1.5803708	0.26291484	-1.1271694	-1.9502674	17.8	4000
2	-49.05071	15.387319	43.52018	43.82013	183.34972	-51.2829	28.712029	44.459496	208.91348	3.2754288	25.477707	87.95318	89.54072	180.06702	-1.9502674	49.25	8000
3	-90.59253	44.829994	83.84676	68.8198	273.9836	-95.43432	33.5061	61.260536	394.17993	-1.414431	27.777779	61.52185	82.11216	180.06702	-1.9502674	42.366665	12000
4	-124.148544	85.79536	116.20303	86.549194	372.5947	-166.93776	43.911297	78.88162	412.79	-1.414431	31.936129	113.85445	115.342575	285.49884	-1.9502674	62.65	16000
5	-157.69759	116.29813	148.77454	106.24314	455.0287	-229.74486	62.14005	118.65019	862.0894	-1.414431	37.878788	202.63412	206.41496	609.65326	-1.9502674	87.4	20000
6	-186.14343	139.80423	176.78384	120.6606	501.81287	-229.74486	75.362366	130.35275	862.0894	-1.414431	42.857143	215.5567	193.64719	609.65326	-1.9502674	94.0	24000
7	-210.71214	165.22568	200.99069	132.25223	532.9348	-229.74486	85.30158	136.25494	862.0894	-1.414431	47.457626	223.6306	180.38426	609.65326	-1.9502674	98.814285	28000
8	-232.77206	192.26318	222.81787	142.18185	556.0195	-229.74486	89.8622	139.51694	862.0894	-1.414431	51.779934	237.47348	176.96017	609.65326	-1.9502674	117.2625	32000
9	-252.41504	217.2637	242.33679	149.39984	563.05255	-275.5663	99.77131	149.8688	862.0894	-1.414431	56.074768	259.3007	178.43823	609.65326	-1.9502674	121.26667	36000
10	-270.09006	238.85611	259.9263	155.44298	581.4011	-300.20346	104.04039	158.47264	1020.18207	-1.414431	60.60606	328.16574	275.83224	1021.674	-1.9502674	201.15	40000
11	-285.6648	253.0475	275.47995	160.17175	590.90326	-300.20346	111.05734	161.02676	1020.18207	-1.414431	63.67583	320.18185	264.28726	1021.674	-1.9502674	192.81818	44000
12	-299.31964	264.89832	289.12088	164.07512	606.9715	-323.67014	117.15976	165.60228	1025.6243	-1.414431	66.94561	308.69128	256.83475	1021.674	-1.9502674	186.18333	48000
13	-311.37552	275.66153	301.18146	167.05069	619.315	-353.73132	119.63113	165.1149	1025.6243	-1.414431	70.27027	307.9357	247.02716	1021.674	-1.9502674	187.50769	52000
14	-322.18805	285.34537	312.01404	169.05965	646.3897	-387.686	126.321495	173.66075	1067.7859	-1.414431	74.27055	308.63013	240.74483	1021.674	-1.9502674	185.57857	56000
15	-332.00143	293.6904	321.8571	170.5986	646.3897	-913.5601	133.60573	179.40286	1067.7859	-1.414431	76.92308	328.20688	271.4037	1490.6566	-1.9502674	199.82	60000
16	-340.4708	300.92218	330.40494	171.53711	646.3897	-913.5601	140.17378	183.52176	1067.7859	-1.414431	79.503105	344.97086	279.60632	1490.6566	-1.9502674	209.3375	64000
17	-347.67538	306.25705	337.6803	171.99933	646.3897	-913.5601	146.53487	190.0145	1067.7859	-1.414431	81.829124	350.1898	272.73004	1490.6566	-1.9502674	206.87059	68000
18	-353.85226	310.162	343.9381	172.20992	646.3897	-913.5601	153.949	197.13089	1067.7859	-1.414431	84.407974	340.53812	268.07495	1490.6566	-1.9502674	199.86111	72000
19	-359.06528	312.87613	349.2491	172.2397	646.3897	-913.5601	160.24667	202.39682	1067.7859	-1.414431	86.56036	344.70947	268.41278	1490.6566	-1.9502674	201.86842	76000
20	-363.28842	313.91006	353.58112	171.97166	646.3897	-913.5601	165.58813	208.50677	1099.7206	-1.414431	89.08686	357.42224	275.2362	1490.6566	-1.9502674	208.09	80000
21	-366.55292	313.7762	356.964	171.40208	646.3897	-913.5601	170.18198	209.73291	1099.7206	-1.414431	91.4037	355.4808	270.63425	1490.6566	-1.9502674	207.10477	84000
22	-369.13718	312.53625	359.65958	170.69054	646.3897	-913.5601	174.29332	210.68892	1099.7206	-1.414431	93.81663	367.75595	273.1704	1490.6566	-1.9502674	220.22273	88000
23	-371.1471	310.5364	361.79178	169.76842	646.3897	-913.5601	174.66078	210.98538	1099.7206	-1.414431	96.13375	353.6312	275.2578	1490.6566	-1.9502674	213.81305	92000
24	-372.77106	308.4382	363.5269	168.61212	646.3897	-913.5601	177.21323	214.43857	1099.7206	-1.414431	98.56263	380.37714	298.43408	1490.6566	-1.9502674	246.57083	96000
25	-374.20374	306.03293	365.0573	167.23538	646.3897	-913.5601	180.80544	219.67165	1116.9436	-1.414431	102.04082	404.39804	315.19595	1490.6566	-1.9502674	276.708	100000
26	-375.68997	303.6312	366.63095	165.82753	646.3897	-913.5601	182.9373	220.66292	1116.9436	-1.414431	105.15672	427.35922	329.7116	1490.6566	-1.9502674	304.52692	104000
27	-377.33932	301.02634	368.3609	164.53574	646.3897	-913.5601	186.11728	225.82355	1116.9436	-1.414431	108.76133	447.8841	340.05368	1490.6566	-1.9502674	330.2852	108000
28	-378.96777	298.10312	370.08463	163.08148	646.3897	-913.5601	189.1066	229.82294	1116.9436	-1.414431	112.22445	466.913	348.25763	1490.6566	-1.9502674	354.20358	112000
29	-380.42047	294.84128	371.6322	161.55162	646.3897	-913.5601	191.82906	233.50845	1116.9436	-1.414431	115.19364	464.45636	343.12985	1490.6566	-1.9502674	349.13104	116000
30	-381.84476	292.4758	373.14697	160.06189	646.3897	-913.5601	195.13496	235.70126	1138.5886	-1.414431	116.95906	471.51105	342.1941	1490.6566	-1.9502674	348.08	120000
31	-383.19553	290.03748	374.5887	158.72328	646.3897	-913.5601	199.76332	239.46036	1138.5886	-1.414431	119.34553	475.59512	344.0883	1665.5208	-1.9502674	345.7613	124000
32	-384.19424	287.14133	375.68597	157.33337	646.3897	-913.5601	204.8555	250.5071	1714.4362	-1.414431	122.137405	490.8951	361.046	2009.9749	-1.9502674	348.2531	128000
33	-384.97726	284.32767	376.56854	155.89723	646.3897	-913.5601	210.25221	259.70486	1934.7328	-1.414431	124.7637	502.18533	368.68472	2009.9749	-1.9502674	352.46667	132000
34	-385.4084	281.31625	377.10675	154.4402	646.3897	-913.5601	215.6962	267.53156	1934.7328	-1.414431	127.34082	517.1095	381.31595	2009.9749	-1.9502674	357.65295	136000
35	-385.5107	278.38248	377.31195	152.93887	646.3897	-913.5601	221.10796	276.09808	1934.7328	-1.414431	130.11153	519.35266	376.16132	2009.9749	-1.9502674	354.09143	140000
36	-385.4273	275.34354	377.32928	151.42189	646.3897	-913.5601	225.44574	279.57465	1934.7328	-1.414431	131.74748	515.9676	375.4081	2009.9749	-1.9502674	351.22778	144000
37	-385.15213	272.0944	377.1556	149.94675	646.3897	-913.5601	228.87024	281.03616	1934.7328	-1.414431	133.21332	509.1336	373.89694	2009.9749	-1.9502674	344.69458	148000
38	-384.77716	269.16275	376.87186	148.53233	646.3897	-913.5601	232.94437	284.07065	1934.7328	-1.414431	134.1571	509.2041	369.94415	2009.9749	-1.9502674	340.93948	152000
39	-384.43527	265.92593	376.61502	147.22806	646.3897	-913.5601	239.87524	291.21115	1934.7328	-1.414431	135.8885	525.8173	380.53555	2009.9749	-1.9502674	341.89743	156000
40	-384.1549	263.03506	376.41364	146.03903	646.3897	-913.5601	246.43143	297.4491	1934.7328	-1.414431	137.69363	526.5189	378.8358	2009.9749	-1.9502674	338.89	160000
41	-383.92352	259.97104	376.25986	144.94148	646.3897	-913.5601	253.38234	309.48828	2241.06	-1.414431	139.93175	560.86	441.72693	2767.8557	-1.9502674	347.9	164000
42	-383.72217	257.14066	376.13272	143.90106	646.3897	-913.5601	258.92627	322.9607	2241.06	-1.414431	142.49364	577.8581	455.75162	2767.8557	-1.9502674	356.66904	168000
43	-383.4914	254.29774	375.983	142.87825	646.3897	-913.5601	264.87283	338.2177	2305.2512	-1.414431	145.27026	571.42194	453.0881	2767.8557	-1.9502674	351.87674	172000
44	-383.11743	251.50533	375.69122	141.8669	646.3897	-913.5601	269.7342	346.5911	2305.2512	-1.414431	147.89915	578.5112	457.96042	2767.8557	-1.9502674	355.83636	176000
45	-382.60236	248.55435	375.26117	140.86873	646.3897	-913.5601	274.59146	355.33243	2305.2512	-1.414431	150.25041	598.7809	487.4725	2767.8557	-1.9502674	362.7978	180000
46	-381.93924	245.66838	374.68158	139.90108	646.3897	-913.5601	278.39212	359.63568	2305.2512	-1.414431	151.94055	609.0907	493.71396	2767.8557	-1.9502674	367.0739	184000
47	-381.21555	242.88634	374.0371	138.9649	646.3897	-913.5601	282.73093	368.92435	2305.2512	-1.414431	153.97215	602.58185	493.33328	2767.8557	-1.9502674	363.1787	188000
48	-380.51517	240.28482	373.40863	138.05327	646.3897	-913.5601	289.6624	387.91998	2888.7776	-1.414431	156.22458	601.42084	491.6295	2767.8557	-1.9502674	360.90625	192000
49	-379.91055	237.79147	372.87155	137.1484	646.3897	-913.5601	294.6096	391.06653	2888.7776	-1.414431	157.80998	620.26666	515.4701	2767.8557	-1.9502674	364.70203	196000
50	-379.3428	235.28543	372.37302	136.28185	646.3897	-913.5601	296.95493	389.79025	2888.7776	-1.414431	158.10277	617.6153	511.37167	2767.8557	-1.9502674	360.836	200000
51	-378.7281	232.90407	371.8296	135.47517	646.3897	-913.5601	301.873	392.18845	2888.7776	-1.414431	159.4996	625.1045	511.19296	2767.8557	-1.9502674	360.3412	204000
52	-378.08066	230.6684	371.24713	134.69928	646.3897	-913.5601	306.77203	393.3897	2888.7776	-1.414431	160.49382	638.5637	518.778	2767.8557	-1.9502674	361.32693	208000
53	-377.4971	228.50655	370.72586	133.94162	646.3897	-913.5601	312.49686	402.30573	2893.0186	-1.414431	162.07951	654.25616	533.62994	2767.8557	-1.9502674	364.03397	212000
54	-376.91803	226.45189	370.21072	133.20874	646.3897	-913.5601	318.6834	406.91016	2893.0186	-1.414431	163.76042	679.7223	568.376	3178.589	-1.9502674	369.04816	216000
55	-376.33746	224.45953	369.6907	132.49365	646.3897	-913.5601	324.42563	416.81003	2893.0186	-1.414431	165.91252	700.5105	587.75195	3178.589	-1.9502674	376.20908	220000
56	-375.8389	222.4446	369.24734	131.78589	646.3897	-913.5601	329.0188	424.172	2893.0186	-1.414431	167.79027	716.9607	600.7713	3178.589	-1.9502674	381.50894	224000
57	-375.39008	220.57489	368.85376	131.08783	646.3897	-913.5601	333.9521	428.30954	2893.0186	-1.414431	169.3908	729.3538	609.0912	3178.589	-1.9502674	384.07193	228000
58	-374.97134	218.73825	368.48874	130.41083	646.3897	-913.5601	338.95233	431.98294	2893.0186	-1.414431	170.83946	736.5171	609.0476	3178.589	-1.9502674	384.6431	232000
