epoch	pi-loss	q-loss	average-q-values	std-q-values	max-q-values	min-q-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	total-env-interacts
1	-25.816887	3.5986	20.122454	18.814726	97.55966	-26.724098	1.9611	5.3336096	21.722673	-10.808199	20.512821	73.44075	13.302036	90.94453	54.688553	186.8	4000
2	-148.60583	123.70109	129.76364	130.1503	457.79337	-126.59989	4.883981	45.183826	683.59204	-55.028187	24.615385	30.497046	43.961994	90.94453	-13.038809	101.45	8000
3	-252.7929	243.0295	231.56636	181.29909	688.51624	-169.41786	4.18037	47.95276	683.59204	-93.58405	32.697548	35.49882	44.018215	128.82793	-13.038809	124.0	12000
4	-328.0396	340.84286	305.98444	208.9345	772.0491	-213.00642	3.9866817	48.985695	683.59204	-119.89596	39.800995	42.338688	47.841766	154.73462	-32.075516	127.525	16000
5	-384.17795	419.53387	362.07492	224.46597	888.34796	-260.72467	5.254384	52.151424	683.59204	-215.81525	46.948357	57.331642	82.6397	428.19177	-32.075516	143.74	20000
6	-427.2135	476.80533	405.2858	233.87953	977.8301	-310.9274	5.040142	55.333344	683.59204	-242.2054	53.097343	51.416996	83.606026	428.19177	-106.96768	141.93333	24000
7	-461.8465	533.5762	440.24402	240.07285	1052.8828	-394.14066	9.956015	60.90794	683.59204	-242.2054	57.85124	63.549637	85.8787	428.19177	-106.96768	139.31429	28000
8	-490.8761	590.8465	469.59897	244.45824	1052.8828	-394.80737	17.399763	69.9125	683.59204	-242.2054	61.89555	67.75404	90.14963	428.19177	-106.96768	144.475	32000
9	-515.74835	641.20764	494.74948	247.51799	1096.188	-491.99487	19.6657	72.095955	683.59204	-242.2054	66.29834	72.9404	87.454216	428.19177	-106.96768	140.48889	36000
10	-536.9383	674.9776	516.2154	249.1203	1096.188	-593.4417	22.010546	75.41004	683.59204	-242.2054	70.29877	66.070496	94.696915	428.19177	-140.90326	143.07	40000
11	-554.9367	703.0992	534.5403	249.70486	1096.188	-593.4417	22.867594	76.822815	683.59204	-242.2054	74.07407	62.35575	92.24277	428.19177	-140.90326	139.57272	44000
12	-569.2829	722.7469	549.26965	249.05884	1096.188	-593.4417	24.892113	77.37299	683.59204	-242.2054	76.31161	60.36748	103.75218	591.909	-140.90326	139.19167	48000
13	-579.823	738.61707	560.2168	247.06873	1096.188	-593.4417	28.22995	79.88444	683.59204	-242.2054	78.54985	59.396786	106.15176	591.909	-140.90326	140.24615	52000
14	-587.73645	751.47064	568.4996	244.34988	1096.188	-971.97943	31.967049	82.46951	683.59204	-242.2054	80.45977	64.15967	127.70199	946.93396	-140.90326	141.84285	56000
15	-594.07025	759.2406	575.1769	241.49524	1096.188	-971.97943	35.272762	87.01478	683.59204	-242.2054	82.75862	71.182465	141.06555	946.93396	-140.90326	147.82666	60000
16	-598.94	762.1683	580.40265	238.38753	1096.188	-971.97943	36.422546	91.94628	881.269	-242.2054	84.76821	79.79649	141.2948	946.93396	-140.90326	151.1625	64000
17	-601.9881	759.2681	583.83844	234.95749	1096.188	-971.97943	40.01928	97.222626	881.269	-242.2054	88.0829	81.89361	142.05083	946.93396	-140.90326	154.0	68000
18	-603.05804	753.58813	585.29877	231.51482	1096.188	-971.97943	42.19134	99.97658	881.269	-242.2054	90.56604	85.53334	141.7252	946.93396	-140.90326	153.05	72000
