epoch	pi-loss	q-loss	average-q-values	std-q-values	max-q-values	min-q-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	total-env-interacts
1	-3.565874	0.35443643	2.5424483	3.6436813	22.311197	-5.6197715	-267.70197	50.237976	-201.40892	-320.84512	1000.0	-637.0271	59.583603	-580.5044	-765.48145	1000.0	4000
2	-21.764757	1.4917771	19.679907	18.727386	76.95304	-5.6197715	-333.30753	154.7701	-141.23251	-621.8991	1000.0	-514.0587	136.92467	-265.83478	-765.48145	1000.0	8000
3	-35.733734	2.0673988	33.85381	24.746948	93.87481	-5.6197715	-404.81863	164.6008	-141.23251	-622.34875	1000.0	-468.84903	144.3317	-206.69858	-765.48145	1000.0	12000
4	-43.27915	2.147251	41.60058	26.198503	106.11891	-5.6197715	-335.24377	219.84712	190.12547	-622.34875	1000.0	-332.8231	272.87204	237.40204	-765.48145	1000.0	16000
5	-48.92204	2.1917179	47.37817	27.666546	120.726166	-5.6197715	-164.49548	401.4662	742.048	-622.34875	1000.0	-141.80888	470.16388	1080.5564	-765.48145	1000.0	20000
6	-53.73961	2.3043256	52.27549	29.467308	134.90274	-5.6197715	-65.39066	443.10086	897.9642	-622.34875	1000.0	-18.414488	537.01636	1226.9767	-765.48145	1000.0	24000
7	-58.538906	2.505874	57.12097	32.355114	163.6977	-5.6197715	141.38535	656.35614	1675.716	-622.34875	1000.0	204.08148	758.913	1984.8202	-765.48145	1000.0	28000
8	-64.23087	2.7762403	62.82525	36.909958	189.08046	-5.6197715	325.36438	795.6712	2074.7947	-622.34875	1000.0	428.82382	949.0905	2365.1848	-765.48145	1000.0	32000
9	-70.38895	3.0985954	68.97209	42.175022	216.40198	-5.6197715	339.85626	815.28784	2074.7947	-622.34875	1000.0	604.91565	1026.5184	2365.1848	-765.48145	1000.0	36000
10	-77.197784	3.4843745	75.759056	48.50991	242.6527	-5.6197715	545.2612	991.09204	2730.9812	-622.34875	1000.0	721.4316	1061.3217	2533.737	-765.48145	1000.0	40000
11	-84.8793	3.8868322	83.41462	55.925495	266.83087	-5.6197715	673.2484	1072.8634	2730.9812	-622.34875	1000.0	840.4426	1117.3046	3004.0513	-765.48145	1000.0	44000
12	-92.94217	4.29824	91.45539	63.63287	298.77914	-5.6197715	851.00366	1184.9752	2920.9316	-622.34875	1000.0	986.0983	1201.2755	3130.4236	-765.48145	1000.0	48000
13	-101.471725	4.702934	99.96339	71.629364	318.5848	-5.6197715	1006.2911	1259.873	3031.2837	-622.34875	1000.0	1134.7617	1266.7996	3318.9006	-765.48145	1000.0	52000
14	-110.26883	5.088096	108.73926	79.5488	338.38632	-5.6197715	1157.525	1331.5842	3229.6914	-622.34875	1000.0	1293.092	1348.5381	3580.1863	-765.48145	1000.0	56000
15	-119.298355	5.4437537	117.74627	87.305824	360.72037	-5.6197715	1304.4098	1399.7158	3603.0447	-622.34875	1000.0	1431.1584	1402.306	3659.2688	-765.48145	1000.0	60000
16	-128.43712	5.762588	126.86747	94.77523	385.10458	-5.6197715	1442.9103	1458.7726	3670.317	-622.34875	1000.0	1568.6451	1458.8619	3799.7305	-765.48145	1000.0	64000
17	-137.56386	6.078325	135.97923	101.854515	404.66583	-5.6197715	1545.2101	1491.9451	3967.0952	-622.34875	1000.0	1712.5775	1528.5261	4266.378	-765.48145	1000.0	68000
18	-146.60347	6.3952923	145.00508	108.52279	429.02966	-5.6197715	1678.2837	1550.3243	4012.8667	-622.34875	1000.0	1830.3716	1565.1686	4266.378	-765.48145	1000.0	72000
19	-155.58798	6.719478	153.97221	114.93069	447.35867	-5.6197715	1795.4445	1588.9127	4012.8667	-622.34875	1000.0	1948.95	1604.6064	4307.2476	-765.48145	1000.0	76000
20	-164.54327	7.050261	162.91048	121.139626	469.6862	-5.6197715	1905.8522	1621.7853	4063.203	-622.34875	1000.0	2056.0015	1632.5426	4394.8076	-765.48145	1000.0	80000
21	-173.43192	7.3545027	171.78247	127.1108	487.11447	-5.6197715	2012.5125	1653.3711	4359.2637	-622.34875	1000.0	2157.4038	1656.8816	4543.0635	-765.48145	1000.0	84000
22	-182.24564	7.6364403	180.57976	132.83081	496.57974	-5.6197715	2111.1729	1677.7656	4359.2637	-622.34875	1000.0	2259.34	1685.1215	4627.0596	-765.48145	1000.0	88000
23	-190.80975	7.9708033	189.13196	138.17313	511.44067	-5.6197715	2155.4253	1675.9711	4506.397	-622.34875	1000.0	2337.8276	1708.4696	4762.3813	-765.48145	1000.0	92000
24	-199.09323	8.307691	197.40456	143.16087	524.7472	-5.6197715	2240.6243	1692.067	4506.397	-622.34875	1000.0	2381.8179	1705.736	4762.3813	-765.48145	1000.0	96000
