epoch	mu-loss	q-loss	average-q-values	std-q-values	max-q-values	min-q-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	total-env-interacts
1	-3.9463625	0.36965993	3.1744847	2.8471422	19.243975	-5.8189797	-286.8684	44.724277	-232.07909	-346.4541	1000.0	-559.6932	2.349987	-556.26184	-564.27686	1000.0	4000
2	-16.687536	1.1260227	15.322125	9.980176	52.537056	-3.4658124	-408.97266	145.21942	-220.72612	-551.7547	1000.0	512.7089	204.55962	885.34766	289.11285	1000.0	8000
3	-28.987082	1.9982402	27.95679	14.501005	84.228035	-1.6677012	-398.10803	144.76637	-215.5995	-545.069	1000.0	-435.79034	120.92292	-158.0914	-595.9617	1000.0	12000
4	-35.776665	2.7084165	34.62882	21.309158	91.873985	-3.8058898	-272.67206	144.54338	-117.47988	-500.12512	1000.0	-606.9093	86.53139	-459.5042	-749.97833	1000.0	16000
5	-35.133633	1.9063716	34.583023	24.917435	92.41009	-6.008423	-575.8687	97.741905	-473.22568	-735.26855	1000.0	-293.80234	324.76526	294.38583	-536.0276	1000.0	20000
6	-34.61854	2.458399	33.35129	29.849398	105.98644	-8.311132	-228.03125	223.36012	-15.389531	-599.8308	1000.0	-102.08077	299.44794	359.36783	-517.4871	1000.0	24000
7	-50.36308	3.1978443	48.98373	36.713802	127.338806	-0.4639271	222.86443	483.936	822.6061	-396.7503	1000.0	1064.3712	118.192154	1190.6697	775.74225	1000.0	28000
8	-65.28606	3.8668072	63.846004	43.465958	155.52187	0.20471442	1107.6295	221.82535	1476.4642	898.9702	1000.0	1237.732	436.98416	1862.2356	134.08722	1000.0	32000
9	-83.280205	4.6382174	81.85416	49.853573	181.91884	6.9545946	1558.0806	166.79045	1838.205	1398.8822	1000.0	1553.2175	738.62463	1953.2478	-574.3006	1000.0	36000
10	-102.287254	5.9977355	100.77507	57.280384	208.91061	9.207435	1857.2686	249.46272	2129.2751	1513.4569	1000.0	1692.2122	794.3857	2306.5964	-243.424	1000.0	40000
11	-123.31099	6.9606285	121.62665	64.753006	232.46927	9.687043	1586.4092	985.8825	2227.2117	-118.295044	1000.0	2440.1128	120.377785	2652.4568	2273.6865	1000.0	44000
12	-146.59262	7.8055606	144.71854	71.35146	259.008	11.176461	2575.1094	144.15903	2719.2522	2366.5083	1000.0	2773.7827	130.03679	3076.0522	2614.3652	1000.0	48000
13	-170.33624	8.614568	168.3666	76.23738	296.81183	24.82736	1844.5813	1442.7042	3071.1055	-492.84512	1000.0	2708.4553	750.30194	3345.8264	567.1957	1000.0	52000
14	-192.9454	9.727884	190.96062	83.29978	322.9096	34.16203	3057.7722	239.94148	3291.5295	2671.459	1000.0	3176.6333	587.83856	3658.341	1473.4235	1000.0	56000
15	-214.90758	11.639171	212.89244	91.37419	360.14975	37.39874	2786.1274	819.6806	3533.2441	1450.3757	1000.0	3430.2437	203.9805	3773.7104	3079.4216	1000.0	60000
16	-236.61513	13.438213	234.52376	99.556915	385.2053	32.692673	2794.345	1211.3485	3602.0215	701.22125	1000.0	3785.6265	135.97176	3899.3784	3512.9626	1000.0	64000
17	-258.83194	14.987143	256.63345	106.754105	414.4817	39.79056	3839.9402	82.793564	3914.323	3699.759	1000.0	4019.3508	254.39655	4327.038	3324.406	1000.0	68000
18	-280.13055	15.441434	277.85995	113.25483	430.58435	46.907734	2977.4705	1783.3107	4243.017	-96.1212	1000.0	4057.254	107.36079	4251.4995	3891.2407	1000.0	72000
19	-302.1215	16.343964	299.82648	117.45176	455.1905	56.94321	4028.4111	162.594	4251.868	3814.1494	1000.0	4126.63	288.83835	4483.929	3631.6282	1000.0	76000
20	-323.96515	16.635574	321.6054	119.11301	478.82614	58.864502	3947.0981	517.9181	4560.369	3131.1035	1000.0	3399.3594	367.2196	4048.0579	2537.4836	1000.0	80000
21	-344.51517	18.602684	342.05447	116.79905	493.37396	80.099594	3936.3345	218.63982	4302.2725	3744.3215	1000.0	4324.8604	171.8185	4660.069	4027.216	1000.0	84000
22	-364.95563	18.279303	362.4254	110.15499	510.66925	94.770386	4187.8965	192.85744	4437.818	3946.1895	1000.0	3988.9624	325.4938	4388.8965	3410.9395	1000.0	88000
23	-385.03464	18.24279	382.45023	100.04472	525.213	123.47758	4251.778	109.90378	4389.848	4123.2036	1000.0	3704.3105	1213.0079	4541.207	186.89798	1000.0	92000
24	-402.8365	17.801586	400.31653	92.05444	530.49506	173.53822	4146.941	159.24156	4293.942	3880.7258	1000.0	4277.1187	207.04477	4521.227	3906.8196	1000.0	96000
25	-416.2332	17.537165	413.78964	87.112564	541.60175	180.5449	4111.247	192.77643	4292.8047	3786.7998	1000.0	4556.034	84.816826	4710.4233	4426.115	1000.0	100000
26	-429.83698	17.568335	427.35788	80.63054	557.40497	192.01738	4457.5947	112.30642	4644.595	4360.6265	1000.0	4596.1904	445.39386	4927.8945	3307.9832	1000.0	104000
27	-440.8078	17.406525	438.48096	78.64111	577.0372	185.57922	4593.2417	90.00707	4693.8516	4475.003	1000.0	4359.1064	187.84149	4762.5767	4130.0303	1000.0	108000
28	-449.69943	17.748789	447.41495	80.75839	584.4569	178.12465	3345.939	1077.8771	4614.698	1717.768	1000.0	4668.6587	231.04227	5020.1123	4164.824	1000.0	112000
29	-455.19696	18.691692	453.02408	85.10338	586.3024	176.29848	4319.474	549.0928	4897.7534	3577.8628	1000.0	4873.169	357.54953	5241.9746	4036.1597	1000.0	116000
30	-461.01837	19.625626	458.8458	90.84502	603.6177	190.03821	4714.526	207.26805	5022.2095	4438.49	1000.0	4665.9536	191.46687	4813.8525	4109.363	1000.0	120000
31	-467.58154	21.050356	465.3723	94.88935	621.52075	179.79214	4639.844	240.72762	5038.7227	4395.787	1000.0	4720.913	200.51295	4899.4634	4331.747	1000.0	124000
32	-475.629	22.081285	473.30725	96.88584	625.0745	144.31732	4443.991	614.09644	4930.9595	3397.856	1000.0	4922.968	278.20767	5261.876	4305.1504	1000.0	128000
33	-484.11176	22.513058	481.81396	97.64861	635.79846	136.28706	4959.3145	110.13216	5083.105	4785.7305	1000.0	4350.881	479.9139	4989.851	3387.7861	1000.0	132000
34	-491.94382	22.717396	489.6892	99.59939	641.01764	153.59636	5172.9214	76.08199	5270.6255	5090.6743	1000.0	5264.4326	332.02734	5615.22	4377.311	1000.0	136000
35	-499.5617	23.817495	497.2685	101.34046	649.73914	138.06041	4991.18	62.517235	5052.682	4898.01	1000.0	5417.676	226.07576	5765.5073	4874.727	1000.0	140000
36	-507.87915	23.682808	505.5825	100.08541	652.9927	125.865326	4990.529	213.0999	5280.9795	4706.5244	1000.0	5182.6724	618.0791	5792.3247	3773.287	1000.0	144000
37	-515.41736	23.524462	513.10406	97.96897	668.467	117.87631	5171.5083	278.12955	5517.906	4786.149	1000.0	5563.608	80.58281	5680.1265	5465.517	1000.0	148000
38	-521.5142	24.519867	519.2687	96.9344	668.0319	99.41468	4631.9326	1002.1009	5556.7676	2964.3389	1000.0	5716.2603	164.61871	5958.4873	5416.4893	1000.0	152000
39	-527.8268	24.610888	525.5568	96.895485	665.0963	72.50187	5444.0625	119.0695	5577.0576	5285.0083	1000.0	4921.31	680.1888	5460.652	3381.031	1000.0	156000
40	-533.264	24.562616	531.0413	97.2185	674.41144	68.11048	4984.285	744.9211	5740.763	4193.816	1000.0	4799.2295	906.8997	5565.623	2612.3518	1000.0	160000
41	-537.7554	24.578953	535.59106	99.87492	689.2706	88.28818	5591.5605	93.45486	5680.3135	5442.269	1000.0	4903.8545	536.5648	5315.6216	3601.6663	1000.0	164000
42	-543.18805	26.953054	540.94763	103.15197	695.3867	86.59059	4485.5747	1243.6533	5544.227	2366.4597	1000.0	5471.6523	562.8134	6299.834	4413.213	1000.0	168000
43	-548.68414	28.589973	546.4067	105.69159	699.66986	88.00905	5307.7354	645.2151	6141.386	4331.6025	1000.0	5819.052	252.52643	6254.5996	5444.4307	1000.0	172000
44	-554.61273	28.282625	552.3861	106.18939	705.4015	81.11232	5597.734	215.02333	5812.2197	5262.4893	1000.0	5817.5444	259.32346	6086.0923	5329.2227	1000.0	176000
45	-561.2081	28.69859	558.91895	106.21409	707.7119	46.161346	5808.4575	93.18303	5932.391	5709.709	1000.0	5977.354	240.20972	6404.666	5569.629	1000.0	180000
46	-567.35175	29.509117	565.04895	106.38327	717.23083	66.51021	4865.1123	1092.9805	5588.4507	2979.2148	1000.0	5895.2485	458.98853	6320.0723	4680.593	1000.0	184000
47	-573.67065	29.362003	571.36273	106.42392	721.4923	50.44683	5846.778	176.36578	6032.619	5571.65	1000.0	5121.9194	626.1871	5790.273	3708.2805	1000.0	188000
48	-579.65265	29.123402	577.375	105.55071	725.9869	34.89675	5602.321	422.79077	6017.434	4906.5806	1000.0	6169.8506	168.92567	6489.1914	5808.439	1000.0	192000
49	-583.91864	29.383762	581.6876	105.93442	733.2817	3.3002121	5232.698	1236.2334	6219.039	3112.2656	1000.0	5990.0703	164.38585	6249.098	5664.319	1000.0	196000
50	-587.98413	29.941254	585.7481	107.218864	736.69946	-31.138792	5770.082	190.80878	5967.7764	5455.2754	1000.0	5800.4487	830.8935	6493.3306	3638.241	1000.0	200000
51	-593.1305	30.756453	590.8572	107.70385	746.2772	-43.9545	5717.2886	438.14407	6413.6157	5223.864	1000.0	5834.8867	200.26868	6196.7227	5624.119	1000.0	204000
52	-598.2995	30.439144	596.0744	108.109375	753.0731	-16.579033	5878.5645	258.02008	6060.303	5433.2915	1000.0	6387.4985	264.63214	6880.9893	5993.1284	1000.0	208000
53	-603.23694	32.243546	601.0016	108.28409	756.9879	-19.98966	5958.9766	83.620346	6057.2666	5835.5967	1000.0	6089.457	454.36868	6496.4023	4788.9834	1000.0	212000
54	-607.9734	31.31238	605.7555	108.69824	770.64514	13.143096	6052.192	47.424896	6093.699	5976.738	1000.0	6402.77	401.02518	6865.3755	5345.031	1000.0	216000
55	-612.6612	31.097473	610.45056	109.90251	776.77325	29.288313	6127.5747	231.41138	6351.6997	5746.5493	1000.0	6325.376	152.78606	6615.1016	6108.9766	1000.0	220000
56	-617.1558	31.450865	614.89526	111.236984	782.0406	4.710058	6081.7754	223.28445	6229.514	5695.5986	1000.0	5843.9365	262.1017	6441.0073	5492.522	1000.0	224000
57	-622.5241	32.525238	620.2672	110.159584	781.39307	18.386314	5942.381	451.73682	6364.9844	5188.0044	1000.0	6707.927	184.41405	7049.9243	6409.8516	1000.0	228000
58	-626.40735	31.487856	624.19354	111.2878	793.1468	13.77577	6099.373	73.76544	6215.1104	6018.149	1000.0	6267.3135	171.44957	6690.4775	6073.071	1000.0	232000
59	-630.97235	32.791107	628.69684	111.71466	797.0152	27.61726	6460.4863	208.51862	6776.5815	6223.7295	1000.0	6867.664	291.9975	7339.0396	6398.9204	1000.0	236000
60	-637.9121	33.628136	635.5019	110.1373	804.34155	54.900055	6644.2246	330.2944	7138.9185	6274.1704	1000.0	6770.921	630.24945	7287.537	5387.8687	1000.0	240000
61	-645.05536	34.628937	642.6751	109.049706	818.37756	64.90196	6865.8906	281.89282	7278.5054	6487.975	1000.0	6535.562	706.51575	7173.0757	4738.447	1000.0	244000
62	-652.8749	34.43911	650.4361	109.955574	829.8557	97.26844	6920.314	215.79932	7164.8774	6599.6167	1000.0	7165.428	423.99	7552.664	6234.1777	1000.0	248000
63	-660.6661	35.68729	658.17706	110.614456	839.7903	110.69708	5139.9897	2372.5212	6863.238	1073.6953	1000.0	6986.8843	288.46463	7503.1445	6387.43	1000.0	252000
64	-666.2123	35.303524	663.7403	115.530266	844.66425	135.16982	6958.0396	178.45851	7169.7285	6714.6064	1000.0	6666.539	856.7789	7283.1084	4312.304	1000.0	256000
65	-672.9132	35.907017	670.40393	119.312256	856.93097	112.18679	6996.156	223.73155	7328.39	6698.1016	1000.0	6759.079	1483.0721	7913.049	2422.3289	1000.0	260000
66	-680.6711	37.18485	678.153	121.418526	867.9026	102.06543	7212.7134	141.7053	7341.7495	6987.2817	1000.0	7209.2017	287.74945	7604.685	6702.253	1000.0	264000
67	-688.6548	37.837467	686.0372	122.87625	875.36127	56.19922	7408.4424	189.86276	7732.3447	7272.638	1000.0	7467.987	376.40228	7783.914	6545.8037	1000.0	268000
68	-696.8865	38.943577	694.293	123.47701	889.0616	95.57993	7068.084	252.45154	7390.8403	6695.6636	1000.0	7171.324	746.1647	7983.2583	5655.8623	1000.0	272000
69	-704.2074	39.534626	701.5875	125.28884	896.2884	67.88132	7217.405	235.00052	7571.463	6912.704	1000.0	7337.6	834.1417	7892.77	4900.477	1000.0	276000
70	-712.3329	40.458305	709.6175	125.71229	908.76227	86.56626	7414.2544	44.791107	7463.4536	7367.026	1000.0	7777.0303	315.34225	8105.684	7004.291	1000.0	280000
71	-720.74475	40.59331	718.0245	124.50821	917.3159	98.91711	7399.382	168.9837	7580.5513	7219.039	1000.0	7730.843	458.57928	8283.408	6850.7285	1000.0	284000
72	-728.91846	40.810364	726.2008	124.18497	927.2416	92.683426	7401.9834	251.92381	7675.348	7117.188	1000.0	7789.4243	122.71691	7988.5664	7598.847	1000.0	288000
73	-735.67426	42.17037	732.9322	124.15986	931.9825	122.943535	7292.0938	639.6699	7964.153	6553.436	1000.0	7025.4287	1827.3813	8129.482	3294.473	1000.0	292000
74	-742.62024	42.07371	739.8538	125.95136	945.7802	138.17604	7291.532	930.5978	7938.422	5695.497	1000.0	7914.7734	268.9068	8209.862	7159.9956	1000.0	296000
75	-750.0351	43.134304	747.2288	127.831474	954.44434	167.82137	7830.7285	107.643616	7968.914	7684.891	1000.0	8062.853	229.58664	8434.442	7706.127	1000.0	300000
76	-755.9256	43.54596	753.12775	130.59013	959.82227	187.54065	7725.365	364.6412	8063.382	7122.226	1000.0	7943.7344	523.609	8384.898	6874.568	1000.0	304000
77	-763.42505	44.995453	760.55554	133.33372	971.0892	184.40286	7689.45	160.339	7828.383	7426.2026	1000.0	6899.964	1757.6008	8412.777	2440.7117	1000.0	308000
78	-771.35175	47.302444	768.4208	134.91885	976.7777	190.50714	7782.712	106.165565	7915.3438	7664.133	1000.0	8140.8545	217.93137	8309.615	7507.5093	1000.0	312000
79	-779.21643	48.286694	776.35187	137.28018	985.4335	164.33846	8030.3604	96.44588	8169.274	7900.545	1000.0	8016.116	490.38565	8596.35	6827.3174	1000.0	316000
80	-785.9295	48.93689	783.0084	139.27512	995.7124	161.18071	7782.5684	103.81941	7902.538	7627.4307	1000.0	8285.073	526.9195	8839.868	7022.342	1000.0	320000
81	-793.12213	48.97519	790.1082	141.05072	1017.8947	168.90175	8168.524	147.5363	8381.663	8027.3057	1000.0	7224.536	2087.0085	8584.064	1301.3157	1000.0	324000
82	-801.1701	48.50801	798.18414	139.48611	1031.149	169.6749	7945.4297	264.99646	8166.826	7492.656	1000.0	8518.244	296.60718	8826.848	7830.581	1000.0	328000
83	-808.29175	49.036266	805.2987	137.0668	1029.4248	170.14255	8038.6104	313.73163	8527.421	7662.4307	1000.0	7457.3203	485.96738	7949.2285	6132.479	1000.0	332000
84	-813.48627	47.902023	810.5543	138.11703	1039.2937	172.05261	7939.55	410.61172	8380.0205	7267.891	1000.0	8320.193	242.24869	8594.125	7905.8057	1000.0	336000
85	-817.88715	49.906082	814.9192	137.7918	1039.4327	199.24208	7917.0293	330.56998	8324.811	7419.7593	1000.0	8111.8477	846.0055	9145.647	6067.3315	1000.0	340000
86	-822.99774	50.176872	820.04785	137.0388	1052.8486	195.79674	8342.973	179.8138	8610.059	8137.647	1000.0	8457.974	582.7385	9188.65	7329.0586	1000.0	344000
87	-827.6089	49.955357	824.62994	137.45363	1054.2925	197.63815	8206.004	115.40051	8340.643	8025.6616	1000.0	8074.474	582.64856	8730.846	7002.2524	1000.0	348000
88	-833.146	51.401993	830.18945	135.85529	1061.3711	208.17151	8222.133	223.64597	8416.834	7858.3066	1000.0	8055.823	1400.6622	9328.011	4215.4307	1000.0	352000
89	-837.65295	49.55873	834.69586	136.50154	1063.3679	191.96724	8257.957	167.95688	8464.408	8020.279	1000.0	8852.403	286.37756	9368.238	8294.37	1000.0	356000
