epoch	pi-loss	v-loss	kl	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	-0.048891447	1257.27	0.014583031	-384.1192	125.46837	-192.3597	-544.19684	1000.0	1000
2	-0.051152006	770.4122	0.013238227	-326.2417	31.567476	-276.55	-364.18964	1000.0	2000
3	-0.056406647	1085.8215	0.014219732	-384.01752	108.262314	-241.60248	-506.2067	1000.0	3000
4	-0.055046335	781.24396	0.015046362	-386.04694	64.447014	-287.14633	-463.75912	1000.0	4000
5	-0.06033498	475.36224	0.014868661	-305.00122	92.5723	-179.00514	-440.11813	1000.0	5000
6	-0.011241311	217.2662	0.015514498	-206.29	54.059803	-142.78658	-283.0436	1000.0	6000
7	-0.051569447	440.80435	0.015053878	-341.9017	63.111767	-267.1994	-424.7728	1000.0	7000
8	-0.041317414	428.711	0.01514405	-295.23926	68.32092	-221.97447	-385.11057	1000.0	8000
9	-0.0112812	212.28091	0.015147659	-180.11255	57.26834	-125.6265	-273.57983	1000.0	9000
10	-0.051025644	176.246	0.015089557	-197.3461	46.37339	-163.91699	-276.29254	1000.0	10000
11	-0.01287134	145.52597	0.016737692	-186.9028	31.625658	-155.60446	-229.15108	1000.0	11000
12	-0.009975079	150.9184	0.015755586	-168.185	18.773075	-151.56935	-198.88953	1000.0	12000
13	-0.05776396	98.821465	0.014172886	-134.50584	45.36977	-67.09987	-194.6576	1000.0	13000
14	-0.04753303	87.69522	0.015173117	-131.75226	46.625004	-78.80651	-196.63612	1000.0	14000
15	-0.011211492	134.78516	0.015408173	-161.39296	39.32826	-96.747086	-199.68628	1000.0	15000
16	-0.011149444	121.20033	0.016136725	-107.01068	47.88736	-53.80145	-162.90451	1000.0	16000
17	-0.03843763	136.53526	0.015264774	-154.18213	64.20438	-46.384396	-212.63481	1000.0	17000
18	-0.05411305	85.54324	0.015069869	-115.20141	39.666374	-66.17587	-161.10712	1000.0	18000
19	-0.06015875	60.20813	0.015001781	-81.198265	24.193892	-48.071236	-111.477135	1000.0	19000
20	-0.05427575	85.534325	0.015064331	-126.59635	4.5585365	-120.369	-132.6248	1000.0	20000
21	-0.012632195	99.6676	0.015460349	-95.30954	28.190786	-67.773895	-142.44322	1000.0	21000
22	-0.012409113	101.88446	0.015992401	-89.75316	18.082767	-63.227592	-110.834145	1000.0	22000
23	-0.012999963	68.1969	0.015567407	-56.123207	9.89935	-46.65495	-72.756615	1000.0	23000
24	-0.059918083	130.09462	0.011782531	-74.880585	46.12815	0.20594646	-123.4475	1000.0	24000
25	-0.05583676	252.28122	0.015087844	-100.91977	92.09263	-15.388813	-247.4371	1000.0	25000
26	-0.014191888	80.24176	0.015755426	-84.31933	105.89043	23.219158	-254.61249	1000.0	26000
27	-0.04356398	173.27318	0.01511405	-49.667755	74.29531	75.4896	-118.38989	1000.0	27000
28	-0.058598153	116.89991	0.0151122445	30.593613	45.424343	90.45384	-14.410972	1000.0	28000
29	-0.04704951	112.11444	0.015183697	-73.155106	106.78558	47.281128	-238.94681	1000.0	29000
30	-0.011168376	146.10146	0.016702084	-42.765404	80.35912	84.62387	-126.86235	1000.0	30000
31	-0.011714019	144.55267	0.015746025	-8.757723	45.70434	43.947197	-63.47657	1000.0	31000
32	-0.010715339	250.91101	0.016624637	-21.100458	85.12876	71.43949	-123.628716	1000.0	32000
33	-0.012104422	223.8562	0.016409712	38.63579	104.42555	176.86996	-116.42573	1000.0	33000
34	-0.011566196	198.82309	0.015990537	-9.210857	38.30935	53.878418	-40.064404	1000.0	34000
35	-0.010536327	123.02739	0.015788559	115.819534	62.277565	208.17395	38.394993	1000.0	35000
36	-0.049090553	210.74756	0.015125858	-4.2574615	63.326977	101.57147	-60.376083	1000.0	36000
37	-0.064034715	527.5741	0.015019771	-74.94515	298.77884	203.66791	-556.6323	1000.0	37000
38	-0.04535766	454.67026	0.01517626	-0.881485	200.86226	217.04768	-329.17593	1000.0	38000
39	-0.0629265	147.46579	0.015171162	91.62994	70.23716	168.38872	-22.61574	1000.0	39000
40	-0.058300544	276.62067	0.0150452545	41.695816	83.49942	172.5906	-49.109337	1000.0	40000
41	-0.05726358	154.5413	0.015097128	151.5614	70.277466	239.99101	43.359283	1000.0	41000
42	-0.053618573	424.404	0.015124084	1.6608658	156.42601	169.15486	-234.58302	1000.0	42000
43	-0.013062067	136.40805	0.01657347	171.57901	66.05059	275.857	97.823265	1000.0	43000
44	-0.05746414	119.03754	0.015061421	177.88846	47.35005	240.29176	111.2317	1000.0	44000
45	-0.065339476	243.13675	0.015081512	151.43771	12.800559	169.22455	134.88731	1000.0	45000
46	-0.0160141	487.26263	0.016027901	-24.259003	350.27307	249.98409	-625.5714	1000.0	46000
47	-0.046873286	139.81592	0.015256389	237.66873	34.11935	278.15097	185.77205	1000.0	47000
48	-0.05018033	189.41287	0.01529708	222.82867	62.730503	296.05942	122.825905	1000.0	48000
49	-0.06115695	189.59956	0.015128896	130.3815	47.22504	165.66505	49.566166	1000.0	49000
50	-0.059752278	217.68027	0.015041323	197.99428	62.74695	295.2047	120.89931	1000.0	50000
