epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	kl	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	-0.05207079	937.26935	-4.1553555	0.7007192	-0.64118403	-5.4933434	0.01507309	-349.8435	40.812893	-294.42828	-407.5512	1000.0	4000
2	-0.052368976	1103.3933	-6.876673	2.7703786	-0.64118403	-9.709271	0.015052855	-396.51562	64.85384	-294.42828	-503.0155	1000.0	8000
3	-0.05279364	1060.6119	-8.816651	3.5563083	-0.64118403	-12.741495	0.01499528	-404.51077	56.322067	-294.42828	-503.0155	1000.0	12000
4	-0.042937316	949.2754	-10.33829	4.054371	-0.64118403	-14.940107	0.015299074	-393.14853	70.46596	-266.0026	-503.0155	1000.0	16000
5	-0.04435485	795.3758	-11.405945	4.230725	7.5358872	-15.8284855	0.015243368	-362.55283	90.58436	-172.84091	-503.0155	1000.0	20000
6	-0.03938239	708.87335	-12.341487	4.3927655	7.5358872	-17.046413	0.015262221	-349.0424	91.23343	-172.84091	-503.0155	1000.0	24000
7	-0.035819244	642.8923	-13.04656	4.4732685	12.631496	-17.676136	0.0152371535	-333.28873	97.25787	-172.84091	-503.0155	1000.0	28000
8	-0.038141504	593.9855	-13.723929	4.5845437	12.631496	-18.770645	0.015196396	-326.3158	93.38733	-172.84091	-503.0155	1000.0	32000
9	-0.03948039	550.06213	-14.331304	4.6735454	12.631496	-19.495993	0.01517878	-318.25244	93.00515	-158.23546	-503.0155	1000.0	36000
10	-0.036985245	509.11456	-14.686247	4.660872	12.631496	-19.495993	0.015184805	-305.6137	96.599945	-140.52618	-503.0155	1000.0	40000
11	-0.03861022	474.413	-14.919545	4.6365523	12.631496	-19.60031	0.015172458	-297.15042	97.2221	-138.52684	-503.0155	1000.0	44000
12	-0.039601233	441.9529	-14.500759	4.972481	12.631496	-19.60031	0.015161372	-281.92648	107.995	-55.08712	-503.0155	1000.0	48000
13	-0.03771086	416.78674	-14.581125	5.014376	12.631496	-19.982971	0.015169999	-274.74518	106.82403	-55.08712	-503.0155	1000.0	52000
14	-0.038434934	396.58112	-14.56809	5.1416335	16.908718	-20.182428	0.015169978	-266.64157	107.34418	-55.08712	-503.0155	1000.0	56000
15	-0.036662996	376.9837	-14.5905075	5.2293453	16.908718	-20.587458	0.015174546	-260.78888	106.81577	-55.08712	-503.0155	1000.0	60000
16	-0.037583645	358.4779	-14.437364	5.428664	16.908718	-20.760836	0.015164924	-253.11012	108.14193	-55.08712	-503.0155	1000.0	64000
17	-0.03819701	343.8222	-14.426326	5.419596	16.908718	-21.039888	0.015158502	-247.52576	109.06568	-49.184586	-503.0155	1000.0	68000
18	-0.03891895	330.88394	-14.695757	5.471017	16.908718	-21.772991	0.015156767	-246.4535	106.72402	-49.184586	-503.0155	1000.0	72000
19	-0.037561517	317.5034	-14.817097	5.614988	16.908718	-22.053036	0.015239339	-243.09462	106.27158	-49.184586	-503.0155	1000.0	76000
20	-0.038080133	308.56952	-14.783244	5.5626597	16.908718	-22.13852	0.015227729	-238.96313	105.914825	-49.184586	-503.0155	1000.0	80000
21	-0.036969326	298.446	-14.534694	5.7259307	17.925747	-22.13852	0.015264357	-232.02126	108.27421	-45.538483	-503.0155	1000.0	84000
22	-0.037420694	288.55685	-14.630201	5.8225613	17.925747	-22.278103	0.01525715	-229.86664	107.44906	-45.538483	-503.0155	1000.0	88000
23	-0.03784388	278.29102	-14.561299	5.9245634	17.925747	-22.278103	0.015246999	-225.67165	107.54317	-45.538483	-503.0155	1000.0	92000
24	-0.03833217	268.94724	-14.407293	6.1277924	17.925747	-22.278103	0.015239161	-220.8562	108.561386	-45.538483	-503.0155	1000.0	96000
25	-0.03882332	261.30594	-14.429626	6.3233395	17.925747	-22.316525	0.015237348	-218.4798	109.17158	19.260422	-503.0155	1000.0	100000
26	-0.039197054	255.38957	-14.153721	6.490853	18.34065	-22.316525	0.015232857	-213.18288	110.76111	19.260422	-503.0155	1000.0	104000
27	-0.038230047	249.60608	-13.837787	6.684458	18.34065	-22.316525	0.015238778	-207.49115	112.79362	19.260422	-503.0155	1000.0	108000
