epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	kl	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	-0.0142899025	1027.98	4.64076	0.49155724	5.0110536	-0.5994312	0.015929721	42.908096	37.424477	191.77574	7.782551	41.934784	4000
2	-0.01404721	1499.2808	6.7107987	2.099656	8.832575	-0.5994312	0.015675694	54.68625	46.22757	217.73706	7.782551	48.326923	8000
3	-0.015150963	1843.8976	8.5981865	3.1723435	12.385188	-0.5994312	0.013296568	67.81514	51.472675	217.73706	7.782551	52.311928	12000
4	-0.014945327	2161.6316	10.399535	4.1572113	15.808227	-0.5994312	0.0117000835	79.114265	56.031445	235.53017	7.782551	55.92674	16000
5	-0.015161306	2463.5022	12.145926	5.1015162	19.134254	-0.5994312	0.010939088	88.77107	60.52863	243.4083	7.782551	58.833847	20000
6	-0.015579979	2849.0515	13.895788	6.0825944	22.646679	-0.5994312	0.01036399	99.218666	66.483536	246.32906	7.782551	62.377716	24000
7	-0.015538569	3104.346	15.614186	7.0306416	25.925564	-0.5994312	0.009914434	108.262764	69.92128	246.32906	7.782551	65.22927	28000
8	-0.015570455	3291.4678	17.289936	7.9314637	29.020885	-0.5994312	0.009599039	115.92054	72.611565	251.34502	7.782551	67.711754	32000
9	-0.01554163	3417.3472	18.913898	8.7759	31.906345	-0.5994312	0.009206964	122.33897	74.308556	257.7873	7.782551	69.633606	36000
10	-0.015340807	3542.9329	20.511265	9.606197	34.888176	-0.5994312	0.008963235	128.82088	75.611824	257.7873	7.782551	71.57036	40000
11	-0.015434965	3627.049	22.078123	10.413472	37.747124	-0.5994312	0.008853454	134.83847	76.506454	257.7873	7.782551	73.40734	44000
12	-0.015497078	3649.2012	23.599018	11.173544	40.32932	-0.5994312	0.008793599	139.62715	76.64904	257.7873	7.782551	74.867645	48000
13	-0.015378698	3675.937	25.085974	11.907004	42.929783	-0.5994312	0.008676297	144.5243	76.73303	257.7873	7.782551	76.32669	52000
14	-0.015599919	3673.062	26.535984	12.608836	45.38641	-0.5994312	0.008681568	148.21274	76.441864	257.7873	7.782551	77.42258	56000
15	-0.01567795	3670.5603	27.954277	13.28705	47.810677	-0.5994312	0.0085752765	152.09026	76.29021	272.3988	7.782551	78.5863	60000
16	-0.015639279	3665.4575	29.347298	13.950595	50.242813	-0.5994312	0.008437932	155.51169	76.00416	272.3988	7.782551	79.60756	64000
17	-0.015746871	3639.6533	30.709126	14.58918	52.49864	-0.5994312	0.008403152	158.64172	75.57318	272.3988	7.782551	80.521095	68000
18	-0.015947925	3602.4067	32.038506	15.200751	54.638237	-0.5994312	0.008358151	161.45784	74.946075	272.3988	7.782551	81.35503	72000
