epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	kl	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	8.135604	1034.5922	-3.975396	0.8047918	0.25259283	-5.341435	0.015083868	-356.4467	64.720535	-274.37463	-454.96326	1000.0	4000
2	7.517469	791.84863	-9.117795	0.16193095	-6.854031	-9.234816	0.015906118	-358.4596	94.10737	-241.32912	-481.6553	1000.0	8000
3	6.0851593	698.05457	-12.285628	0.06792999	-11.061237	-12.326608	0.015094606	-363.8377	74.7893	-280.0707	-480.1538	1000.0	12000
4	6.3638935	964.77014	-15.290598	0.063591935	-13.668892	-15.315815	0.015012002	-398.10312	61.92423	-323.54187	-473.31888	1000.0	16000
5	3.7259655	530.219	-17.199823	0.029426472	-16.775879	-17.216005	0.016879272	-326.31973	20.732367	-303.26382	-350.40088	1000.0	20000
6	2.302814	345.4353	-18.641111	0.031314395	-18.117104	-18.65869	0.012982813	-294.65143	76.852844	-201.07697	-408.05856	1000.0	24000
7	3.287517	623.2607	-20.444448	0.027600165	-19.93727	-20.45751	0.015085854	-340.7322	148.25427	-170.50476	-578.01184	1000.0	28000
8	2.1327627	313.81244	-21.557644	0.04534971	-20.079958	-21.574205	0.015133794	-295.36957	53.674263	-242.7131	-382.89322	1000.0	32000
9	0.41981944	296.62674	-22.154594	0.026029354	-21.77485	-22.163416	0.015010925	-268.9027	34.906563	-225.5655	-309.34955	1000.0	36000
10	0.026109695	197.09796	-22.310179	0.051968765	-20.737303	-22.325712	0.013035019	-262.11322	84.2765	-178.75972	-379.39133	1000.0	40000
11	1.4226514	274.3525	-23.347996	0.017579693	-22.608183	-23.354774	0.015051832	-316.68976	60.751617	-248.39687	-414.4966	1000.0	44000
12	-1.141937	246.99063	-22.749792	0.047108464	-21.433805	-22.760824	0.015064506	-226.12671	38.316174	-190.74025	-283.4376	1000.0	48000
13	-0.23904827	301.892	-22.719446	0.14836286	-17.095297	-22.741156	0.015733398	-238.24362	72.32757	-171.99242	-359.78708	1000.0	52000
14	-1.5443292	267.1302	-21.531	1.5367723	0.2321282	-21.860403	0.015015127	-205.71852	102.95179	-32.733627	-291.8503	1000.0	56000
15	-2.2363272	165.94733	-18.064117	2.9054852	1.752708	-20.631142	0.015014577	-162.24442	55.505997	-99.13354	-235.97536	1000.0	60000
16	-1.5970254	177.51562	-13.906949	2.5063725	6.6055465	-19.986002	0.015010331	-148.12827	92.70667	-27.752478	-271.97168	1000.0	64000
17	-0.21341136	177.3489	-14.355913	1.704194	-3.0458028	-19.92647	0.015027745	-158.58453	92.48598	-31.974699	-265.54053	1000.0	68000
18	-1.381253	96.08341	-10.011714	1.6276723	-3.4725144	-19.188885	0.015036958	-111.88817	41.70873	-84.29793	-183.94281	1000.0	72000
19	0.25570202	105.683945	-12.289896	0.9373458	-8.211109	-19.313868	0.015013538	-132.83481	30.353258	-113.454254	-185.32191	1000.0	76000
20	-0.31590194	132.7269	-12.559158	0.8315999	-8.224762	-18.672352	0.014676292	-129.09363	55.481926	-52.089764	-207.32974	1000.0	80000
21	-1.0022131	79.56818	-10.2735195	0.9387914	0.34330308	-17.67019	0.0142442705	-105.66255	22.566345	-91.05943	-144.71054	1000.0	84000
22	-1.2886562	66.50557	-6.4379063	1.0499551	-0.39398298	-15.068093	0.015093509	-70.94955	20.516787	-35.518898	-85.1247	1000.0	88000
23	-0.76634854	78.37657	-5.116792	0.9814539	-0.0050956905	-14.763373	0.015070233	-43.864094	34.629932	-1.0926186	-93.78356	1000.0	92000
24	1.3553672	185.53674	-10.6370125	3.34254	-2.3601604	-19.735346	0.015559383	-119.3726	96.45453	-17.428904	-266.11966	1000.0	96000
25	-1.1799152	87.6662	-6.179119	1.1154563	-2.5331697	-13.53206	0.01501423	-70.08771	10.188792	-59.81792	-86.94584	1000.0	100000
26	2.0147896	232.24234	-13.0941105	2.7307217	6.861968	-17.94146	0.018368676	-147.32721	98.651665	-5.1353025	-265.76022	1000.0	104000
27	-2.4732678	149.43231	-2.6961758	1.7805555	4.475045	-16.745651	0.015131801	-58.352264	65.37054	8.285878	-161.6792	1000.0	108000
28	-0.06264044	91.8469	-2.9213717	1.3122469	1.8056252	-17.27986	0.015578921	-29.882128	17.29334	-11.756718	-57.773277	1000.0	112000
29	1.1224849	132.99234	-7.4640093	1.2914765	-4.5223203	-16.200447	0.015942108	-83.2672	29.763844	-44.24708	-126.4229	1000.0	116000
30	-1.8567278	94.68587	-1.345649	1.2616918	3.53052	-12.652928	0.015062627	-21.074095	42.21435	30.599678	-86.337654	1000.0	120000
31	0.06067221	104.24452	-2.1590047	0.95722353	1.4575738	-13.739744	0.015349108	-23.528982	20.779005	3.224573	-53.413	1000.0	124000
32	-1.1485014	111.78574	0.38401893	1.0886165	8.931481	-13.830418	0.015065754	11.507298	41.515232	67.70151	-44.461575	1000.0	128000
33	-0.05990845	166.0326	0.12521385	1.1060549	5.1275115	-13.124216	0.015110975	-10.240834	61.1922	50.50176	-111.293396	1000.0	132000
34	-1.0753828	119.42459	1.956625	1.2817019	11.478224	-10.208525	0.015119383	31.282759	30.872934	66.99952	-5.4598	1000.0	136000
35	-1.0919951	113.50127	4.6692843	1.9531919	17.328682	-8.104183	0.015062967	53.355835	75.52681	128.94289	-68.952286	1000.0	140000
36	-1.0019004	60.481724	6.525248	1.5583717	14.47452	-9.005432	0.015053442	83.45497	37.244568	139.56647	34.82584	1000.0	144000
37	-0.32513893	73.40598	7.20474	1.3382514	13.42831	-5.334405	0.015025754	73.77499	54.259186	159.28958	16.33141	1000.0	148000
38	0.45771933	165.7219	4.4534483	1.0369836	8.599324	-2.203173	0.0154216215	44.652626	37.395374	92.743256	3.0738125	1000.0	152000
39	1.357202	391.54703	0.2862959	11.1502495	14.5974455	-21.490404	0.015250998	-32.90129	215.17906	144.00427	-399.76886	1000.0	156000
40	-1.1673295	128.86331	9.194274	1.5502946	14.375084	-0.7874361	0.015236406	97.65463	29.700409	147.79099	70.27007	1000.0	160000
41	1.8632549	151.582	1.5610936	1.1787609	6.4245586	-5.4130583	0.015387208	23.89407	47.58763	87.57084	-24.32757	1000.0	164000
42	-1.9754528	171.08423	7.1666093	1.0126489	12.526808	-0.82737184	0.015080659	85.27287	45.103676	138.36203	21.2469	1000.0	168000
43	-1.7830784	99.43505	12.684214	1.4968235	17.732084	4.032061	0.01505631	139.77393	48.466198	211.96988	75.43911	1000.0	172000
