epoch	pi-loss	q-loss	average-q1-values	std-q1-values	max-q1-values	min-q1-values	average-q2-values	std-q2-values	max-q2-values	min-q2-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	entropy-coeff	total-env-interacts	entropy-coeff-loss
1	-12.11424	1.2449114	10.800122	3.3427906	22.422035	-1.160612	10.801688	3.3377607	22.493618	-0.6038008	-234.71367	47.402676	-180.52193	-301.01593	1000.0	-414.74225	40.560047	-366.16373	-485.723	1000.0	0.3158842	4000	-12.314524
2	-15.296866	1.5822439	14.303031	5.1558332	38.83446	-1.160612	14.303567	5.1536837	39.014683	-0.6038008	-230.08478	43.855762	-168.79181	-301.01593	1000.0	-311.22568	108.75665	-157.65091	-485.723	1000.0	0.15407349	8000	-7.9087877
3	-16.311497	1.6831596	15.541812	7.732828	53.036285	-1.160612	15.54202	7.732241	54.316254	-0.6038008	-206.02925	66.092	-35.60741	-301.01593	1000.0	-236.219	139.14236	-40.001312	-485.723	1000.0	0.10249188	12000	-5.372219
4	-16.78469	1.8390745	16.16231	10.205073	58.28797	-2.239421	16.162325	10.20535	57.596317	-3.174159	-47.323593	333.83786	787.0426	-301.01593	1000.0	38.782608	493.37427	964.9933	-485.723	1000.0	0.0771496	16000	-3.9084303
5	-18.372637	2.1289914	17.82472	13.4195595	87.437195	-5.073306	17.824955	13.419624	89.26302	-5.0461464	243.09468	663.7539	1666.8713	-301.01593	1000.0	360.44772	782.74176	1959.8013	-485.723	1000.0	0.06373537	20000	-2.9812686
6	-21.342274	2.730933	20.826942	18.042898	116.82092	-6.1217613	20.827082	18.043169	117.86562	-6.54166	469.52994	853.401	2473.4143	-301.01593	1000.0	687.5381	1024.9767	2621.0671	-485.723	1000.0	0.05670446	24000	-2.4284842
7	-25.717793	3.609259	25.219894	24.549765	147.165	-8.785135	25.219883	24.550516	149.03697	-8.938355	767.61945	1076.0681	2658.4487	-301.01593	1000.0	982.7384	1195.9999	3083.456	-485.723	1000.0	0.052791692	28000	-2.045208
8	-31.464327	4.6989727	30.98438	32.270885	182.67657	-11.892572	30.984257	32.272034	183.76964	-10.989524	1029.8059	1224.277	3172.245	-301.01593	1000.0	1283.0422	1373.1592	3558.1282	-485.723	1000.0	0.05108537	32000	-1.7681069
9	-38.289658	5.7991076	37.828156	40.664032	218.29056	-12.598708	37.82802	40.66522	221.96248	-11.440457	1298.6895	1384.2423	3815.7915	-301.01593	1000.0	1550.8486	1501.247	4156.756	-485.723	1000.0	0.050896958	36000	-1.5543175
10	-46.017136	6.9129767	45.571198	49.528297	247.29121	-12.598708	45.57104	49.529396	249.39496	-12.13169	1564.1351	1536.8062	4248.274	-301.01593	1000.0	1794.7708	1601.9967	4295.442	-485.723	1000.0	0.051787846	40000	-1.3867153
