epoch	pi-loss	q-loss	average-q1-values	std-q1-values	max-q1-values	min-q1-values	average-q2-values	std-q2-values	max-q2-values	min-q2-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	entropy-coeff	total-env-interacts	entropy-coeff-loss
1	-14.473882	2.362781	12.783764	7.935504	57.642998	-7.1265974	12.784375	7.925004	58.332787	-4.5751505	16.726454	12.253389	88.29225	5.156622	21.857924	74.72265	9.536127	84.89693	48.44772	41.9	0.34305426	4000	-2.936606
2	-39.09923	24.150888	35.62126	30.128273	168.78577	-33.177097	35.620808	30.120337	169.78954	-31.472343	27.033958	35.88912	192.59998	4.7436666	26.229507	117.21593	43.162056	166.23701	48.44772	65.9	0.23745307	8000	-1.1085052
3	-68.10632	44.678795	63.937737	50.478836	198.24893	-45.064133	63.937317	50.460865	200.33182	-44.298557	46.709282	64.92426	227.41553	4.7436666	34.88372	145.74156	53.626038	208.89203	48.44772	77.86667	0.22251152	12000	-0.71063006
4	-87.264145	51.327435	83.02796	60.274956	211.20856	-60.915665	83.02843	60.242016	212.53412	-51.826008	63.63906	80.459656	257.8638	4.7436666	41.884815	175.51389	69.51302	277.7352	48.44772	93.775	0.20937805	16000	-0.5395289
5	-97.94866	52.793922	93.87942	63.60707	215.89948	-64.185265	93.88046	63.566353	224.37668	-55.830242	75.640114	91.22898	374.45502	4.7436666	48.192772	176.25899	80.811035	391.19598	48.44772	100.94	0.19064416	20000	-0.42472643
6	-106.096596	55.019024	102.07518	63.766712	215.89948	-70.76724	102.07707	63.723576	224.37668	-69.592926	86.09819	105.7888	565.9858	4.7436666	55.04587	205.14658	98.285065	391.19598	48.44772	113.55	0.18244149	24000	-0.35108864
7	-112.84467	55.746677	108.96776	63.62332	215.89948	-70.76724	108.96862	63.582893	224.37668	-69.592926	99.8441	117.446236	565.9858	4.7436666	60.475163	227.55113	106.51287	391.19598	48.44772	118.27143	0.17219746	28000	-0.30695227
8	-117.70286	55.3009	114.00801	63.446526	249.77899	-89.777306	114.00894	63.4084	250.752	-69.592926	114.245605	128.04468	565.9858	4.7436666	64.90872	238.81918	104.11558	391.19598	48.44772	119.7875	0.16351622	32000	-0.26676786
9	-121.27952	54.023026	117.75763	63.076164	249.77899	-89.777306	117.75849	63.040794	250.752	-74.63191	129.87292	146.55489	921.50464	4.7436666	69.49807	275.47104	146.03806	810.5544	48.44772	127.077774	0.1568577	36000	-0.23751348
10	-124.54818	53.231163	121.15866	62.68895	257.0891	-89.777306	121.159225	62.65686	252.44444	-74.63191	147.3169	194.72235	2016.934	4.7436666	75.32957	338.80725	238.69241	1163.6455	48.44772	149.61	0.15142833	40000	-0.21232374
11	-127.77352	52.670082	124.521416	62.4945	257.0891	-106.23554	124.52198	62.46498	252.44444	-87.720474	159.7456	205.35231	2016.934	4.7436666	79.710144	331.7446	229.48691	1163.6455	48.44772	146.89091	0.14701588	44000	-0.19301525
12	-130.75937	52.953274	127.6373	62.41174	291.7401	-106.23554	127.637886	62.38533	300.34805	-87.720474	171.95277	214.89351	2016.934	4.7436666	83.478264	356.75958	235.78549	1163.6455	48.44772	152.75	0.14314534	48000	-0.17715366
13	-133.59647	53.219223	130.58685	62.438858	299.8583	-106.23554	130.5876	62.415348	300.34805	-87.720474	184.88054	227.2945	2016.934	4.7436666	87.83784	377.30536	237.54437	1163.6455	48.44772	156.38461	0.13986573	52000	-0.16287023
14	-136.40054	53.258057	133.4883	62.72976	299.8583	-106.23554	133.48909	62.70891	303.37766	-94.90014	200.53564	246.52469	2016.934	4.7436666	92.10526	439.78696	344.08368	2120.066	48.44772	173.97858	0.13679431	56000	-0.15239507
15	-139.28732	53.391037	136.46269	63.33512	299.8583	-106.23554	136.4634	63.317165	305.23264	-97.484856	216.26721	275.41788	2016.934	4.7436666	96.618355	486.56723	381.39615	2120.066	48.44772	186.57333	0.13386244	60000	-0.1417293
16	-142.22853	53.317867	139.4825	64.1582	299.8583	-106.23554	139.48318	64.14237	305.23264	-97.484856	230.35748	291.62283	2016.934	4.7436666	100.7874	497.5704	386.03342	2120.066	48.44772	189.36874	0.13149041	64000	-0.13162717
17	-145.03209	53.2963	142.36446	64.99856	299.8583	-106.23554	142.36516	64.98452	305.23264	-133.37317	242.46861	302.5419	2016.934	4.7436666	104.45468	499.79797	387.83142	2120.066	48.44772	190.26471	0.12930241	68000	-0.123998985
18	-147.67084	53.50434	145.07474	65.78522	312.09772	-106.23554	145.07538	65.7725	315.78476	-133.37317	255.16432	313.62674	2016.934	4.7436666	108.10811	541.0242	416.62	2120.066	48.44772	200.87778	0.12772043	72000	-0.11730904
19	-150.19318	53.651173	147.66574	66.545204	312.09772	-158.12401	147.66629	66.53363	315.78476	-133.37317	266.99893	323.35437	2016.934	4.7436666	111.43695	549.38385	447.2753	2879.1445	48.44772	204.21579	0.12619878	76000	-0.11029491
20	-152.60876	54.022068	150.14291	67.27598	323.28833	-166.31688	150.14362	67.26515	317.50815	-133.37317	254.90607	327.35724	2016.934	-1.5551487	106.95187	522.14667	451.82724	2879.1445	4.036106	195.445	0.12468467	80000	-0.10561968
