epoch	pi-loss	q-loss	average-q1-values	std-q1-values	max-q1-values	min-q1-values	average-q2-values	std-q2-values	max-q2-values	min-q2-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	entropy-coeff	total-env-interacts	entropy-coeff-loss
1	-9.974081	20.584806	8.229691	8.834113	65.04327	-129.05457	8.231135	8.899434	58.93694	-113.477875	-90.12854	31.443155	-3.2002258	-120.28004	250.0	0.32820576	4000	-5.3747425
2	-25.72118	11.720781	23.959187	26.859919	121.27162	-129.05457	23.959568	26.869814	120.48201	-151.93935	-85.02813	31.160992	-3.2002258	-120.28004	363.63635	0.18074492	8000	-2.6438303
3	-39.338837	9.661144	37.883133	32.700603	125.34115	-175.89848	37.883606	32.70363	122.208626	-178.39717	-84.401436	36.885086	-3.2002258	-140.75789	375.0	0.13094585	12000	-1.7429568
4	-45.90223	9.157952	44.672802	32.17822	125.34115	-210.7157	44.673367	32.1805	122.208626	-203.24992	-94.89558	36.732883	-3.2002258	-162.66864	307.69232	0.104906596	16000	-1.294205
5	-48.14544	8.746982	47.065777	30.9416	125.34115	-210.7157	47.066257	30.943192	122.208626	-203.24992	-95.264565	37.233414	-0.93825996	-162.66864	317.46033	0.08863241	20000	-1.0362747
6	-47.958733	8.254246	46.9949	30.273956	125.34115	-210.7157	46.99537	30.275154	122.208626	-203.24992	-95.61051	36.097683	-0.93825996	-162.66864	320.0	0.077601075	24000	-0.8732547
7	-46.818867	7.558419	45.94648	29.67284	125.34115	-210.7157	45.946835	29.673895	122.208626	-203.24992	-93.22414	38.20943	-0.93825996	-162.66864	350.0	0.06841168	28000	-0.7945375
8	-45.148403	6.9188223	44.351067	29.120209	125.34115	-210.7157	44.351303	29.121225	122.208626	-203.24992	-91.39711	38.70013	-0.93825996	-162.66864	376.47058	0.060793508	32000	-0.7134165
9	-43.27659	6.352294	42.540745	28.606474	125.34115	-210.7157	42.54092	28.607435	122.208626	-203.24992	-89.4058	38.93621	-0.93825996	-162.66864	404.4944	0.054788828	36000	-0.64723915
10	-41.353886	5.8500433	40.670475	28.143135	125.34115	-210.7157	40.670616	28.144075	122.208626	-203.24992	-87.23586	39.48597	-0.93825996	-162.66864	430.1075	0.04983746	40000	-0.59099656
11	-39.400608	5.4307733	38.764362	27.826672	125.34115	-210.7157	38.76448	27.827585	122.208626	-203.24992	-92.05981	38.272827	-0.93825996	-162.66864	369.7479	0.04574834	44000	-0.5245186
12	-37.29217	5.2001762	36.69683	28.024656	125.34115	-210.7157	36.69699	28.025457	122.208626	-203.24992	-94.78154	38.302883	-0.93825996	-162.66864	360.90225	0.04251825	48000	-0.47793028
13	-35.232254	5.0172296	34.66775	28.294985	125.34115	-210.7157	34.667866	28.295774	122.208626	-203.24992	-94.71542	38.64766	-0.93825996	-162.66864	371.42856	0.039676808	52000	-0.46352455
14	-33.260742	4.8312163	32.72459	28.536814	125.34115	-210.7157	32.724667	28.537636	122.208626	-203.24992	-93.923454	39.051243	-0.93825996	-162.66864	383.56165	0.03713042	56000	-0.4371791
15	-31.418118	4.641447	30.905117	28.705265	125.34115	-210.7157	30.905172	28.706062	122.208626	-203.24992	-92.65703	39.28579	-0.93825996	-162.66864	400.0	0.034913287	60000	-0.4122902
16	-29.7109	4.447997	29.219378	28.794342	125.34115	-210.7157	29.219425	28.795118	122.208626	-203.24992	-91.404526	40.089363	-0.93825996	-162.66864	412.90323	0.03296295	64000	-0.3918292
17	-28.115072	4.2722783	27.644	28.837234	125.34115	-210.7157	27.64405	28.837973	122.208626	-203.24992	-90.22666	40.629074	-0.93825996	-162.66864	422.36026	0.031205181	68000	-0.37573272
18	-26.609398	4.0999527	26.158438	28.886177	125.34115	-210.7157	26.158478	28.88688	122.208626	-203.24992	-89.16997	42.451317	26.826746	-162.66864	426.0355	0.029609066	72000	-0.3574818
19	-25.185112	3.9674637	24.751877	28.95181	125.34115	-210.7157	24.751911	28.952497	122.208626	-203.24992	-86.69153	45.045162	37.695217	-162.66864	431.81818	0.028199852	76000	-0.33738607
20	-23.86964	3.8382103	23.452118	28.965996	125.34115	-210.7157	23.45218	28.966654	122.208626	-203.24992	-84.571205	47.146755	37.766834	-162.66864	441.98895	0.026929028	80000	-0.31806517
21	-22.659885	3.7222998	22.257011	28.930748	125.34115	-210.7157	22.257053	28.931395	122.208626	-203.24992	-82.8297	48.295277	38.734886	-162.66864	454.05405	0.02576459	84000	-0.31228316
22	-21.548697	3.6026945	21.158772	28.853292	125.34115	-210.7157	21.158796	28.85396	122.208626	-203.24992	-80.81194	49.977726	48.535614	-162.66864	465.60846	0.024705993	88000	-0.2939657
23	-20.533924	3.490883	20.15572	28.731737	125.34115	-210.7157	20.155733	28.732412	122.208626	-203.24992	-79.81763	49.927807	48.535614	-162.66864	476.68393	0.023739118	92000	-0.2782039
24	-19.604908	3.3812668	19.237625	28.58069	125.34115	-210.7157	19.23763	28.581348	122.208626	-203.24992	-78.73959	50.49618	52.168	-162.66864	482.41205	0.022871088	96000	-0.26737
25	-18.755808	3.2847965	18.399054	28.409388	125.34115	-210.7157	18.399052	28.410046	122.208626	-203.24992	-75.27162	55.673702	111.0164	-162.66864	492.61084	0.022086836	100000	-0.25545862
26	-17.972355	3.1983767	17.62574	28.232716	125.34115	-210.7157	17.62573	28.23338	122.208626	-203.24992	-72.164154	59.814964	138.44814	-162.66864	495.2381	0.02136015	104000	-0.24243715
27	-17.252378	3.1138344	16.914852	28.046974	125.34115	-210.7157	16.914827	28.047644	122.208626	-203.24992	-68.63923	64.657364	152.29184	-162.66864	504.67288	0.020682182	108000	-0.2312031
28	-16.598814	3.0355053	16.269419	27.847523	125.34115	-210.7157	16.269392	27.848194	122.208626	-203.24992	-64.93718	69.60657	167.11966	-162.66864	513.7615	0.020094605	112000	-0.21469176
29	-16.012983	2.962835	15.691045	27.636019	125.34115	-210.7157	15.691014	27.636703	122.208626	-203.24992	-60.62091	75.983345	182.09183	-162.66864	522.5225	0.019580329	116000	-0.20647472
30	-15.49091	2.8944054	15.175975	27.411856	125.34115	-210.7157	15.1759405	27.412548	122.208626	-203.24992	-55.967793	82.9098	215.01624	-162.66864	530.97345	0.019115549	120000	-0.20153679
31	-15.0257435	2.828165	14.71732	27.179235	125.34115	-210.7157	14.717275	27.17991	122.208626	-203.24992	-51.220085	88.86154	255.75783	-162.66864	536.7965	0.018669575	124000	-0.19353056
32	-14.610898	2.7685807	14.308624	26.944403	125.34115	-210.7157	14.308577	26.94509	122.208626	-203.24992	-46.62369	94.47215	255.75783	-162.66864	542.37286	0.018247899	128000	-0.1886463
33	-14.242016	2.712264	13.945852	26.708979	125.34115	-210.7157	13.945806	26.709661	122.208626	-203.24992	-43.187176	98.153824	257.76007	-162.66864	545.4545	0.017853003	132000	-0.18105574
34	-13.914622	2.6644533	13.623994	26.477638	125.34115	-210.7157	13.623941	26.478327	122.208626	-203.24992	-38.430916	103.730804	293.79788	-162.66864	550.6073	0.017492054	136000	-0.17637083
35	-13.629372	2.6188674	13.343837	26.247877	125.34115	-210.7157	13.343777	26.2486	122.208626	-203.24992	-34.326374	107.49521	293.79788	-162.66864	555.55554	0.017162671	140000	-0.16857015
36	-13.387708	2.5722682	13.10688	26.018229	125.34115	-210.7157	13.10682	26.018938	122.208626	-203.24992	-29.659634	112.90731	293.79788	-162.66864	562.5	0.01687182	144000	-0.16188203
37	-13.186071	2.5286849	12.909704	25.789265	125.34115	-210.7157	12.909647	25.789974	122.208626	-203.24992	-24.60997	118.49913	293.79788	-162.66864	567.0498	0.016611593	148000	-0.15473415
38	-13.021616	2.4880261	12.749235	25.568714	125.34115	-210.7157	12.749187	25.569443	122.208626	-203.24992	-19.728008	123.64329	295.77167	-162.66864	571.4286	0.016382236	152000	-0.15050656
39	-12.891246	2.4493668	12.622656	25.3529	125.34115	-210.7157	12.622607	25.353594	122.208626	-203.24992	-14.943727	128.28746	298.1812	-162.66864	575.64575	0.016185876	156000	-0.14512493
40	-12.795918	2.4140363	12.530481	25.141975	125.34115	-210.7157	12.530434	25.142653	122.208626	-203.24992	-10.754217	131.49896	298.1812	-162.66864	579.71014	0.016010892	160000	-0.14167766
41	-12.733579	2.3810532	12.471166	24.936632	125.34115	-210.7157	12.471122	24.93732	122.208626	-203.24992	-6.2780595	135.39427	303.72226	-162.66864	583.6299	0.01583091	164000	-0.13784678
42	-12.6970005	2.3479726	12.437887	24.73534	125.34115	-210.7157	12.437847	24.736027	122.208626	-203.24992	-2.6056874	137.7779	303.72226	-162.66864	587.4126	0.015660672	168000	-0.13460469
43	-12.674157	2.3183692	12.41853	24.544746	125.34115	-210.7157	12.418482	24.545452	122.208626	-203.24992	1.8866953	141.21004	305.26495	-162.66864	591.0653	0.0154818045	172000	-0.1338032
44	-12.662612	2.2919474	12.410311	24.363829	125.34115	-210.7157	12.410258	24.364527	122.208626	-203.24992	4.756862	141.69685	305.26495	-162.66864	592.5926	0.015298134	176000	-0.13058154
45	-12.658866	2.2705507	12.409757	24.19454	125.34115	-210.7157	12.409696	24.195257	122.208626	-203.24992	6.5385756	141.17297	305.26495	-162.66864	590.16394	0.015154288	180000	-0.12512602
46	-12.666061	2.251614	12.419839	24.035192	125.34115	-210.7157	12.419774	24.035925	122.208626	-203.24992	10.269352	143.3787	305.26495	-162.66864	593.5484	0.015044055	184000	-0.12202475
47	-12.687141	2.2357755	12.443521	23.882431	125.34115	-210.7157	12.443451	23.883156	122.208626	-203.24992	13.900907	145.73724	305.26495	-162.66864	594.9367	0.014946092	188000	-0.11899629
48	-12.723152	2.2228112	12.481728	23.73491	125.34115	-210.7157	12.48166	23.735676	122.208626	-203.24992	17.468554	147.89224	305.26495	-162.66864	596.2733	0.014866834	192000	-0.11455295
49	-12.792139	2.2176485	12.55098	23.599026	125.34115	-210.7157	12.550908	23.599804	122.208626	-203.24992	16.11899	147.77159	305.26495	-162.66864	593.9394	0.014858913	196000	-0.11036647
50	-12.904465	2.2296002	12.662684	23.483076	125.34115	-210.7157	12.662615	23.48386	122.208626	-203.24992	13.120255	147.48463	305.26495	-163.35402	591.716	0.014892879	200000	-0.10358907
51	-13.063453	2.2437658	12.819785	23.405304	125.34115	-210.7157	12.8197155	23.406097	122.208626	-203.24992	9.687908	146.54924	305.26495	-163.35402	584.5272	0.015044518	204000	-0.10257538
52	-13.243147	2.2675507	13.000118	23.367142	125.34115	-210.7157	13.000043	23.367943	122.208626	-203.24992	6.0048504	145.84892	305.26495	-163.35402	574.58563	0.015112708	208000	-0.10327726
53	-13.399903	2.2879434	13.158897	23.328985	125.34115	-210.7157	13.158813	23.329784	122.208626	-203.24992	6.995213	145.40297	305.26495	-163.35402	579.235	0.015051411	212000	-0.10497914
54	-13.528808	2.3010955	13.290105	23.276638	125.34115	-210.7157	13.290017	23.27745	122.208626	-203.24992	9.5917	146.67258	305.26495	-163.35402	582.21027	0.014978085	216000	-0.103252284
55	-13.636116	2.3109555	13.399806	23.213099	125.34115	-210.7157	13.399715	23.21394	122.208626	-203.24992	12.913306	148.7623	305.26495	-163.35402	585.1064	0.014910111	220000	-0.10131755
56	-13.726518	2.3125947	13.492435	23.141533	125.34115	-210.7157	13.492348	23.14235	122.208626	-203.24992	16.25721	150.80038	305.26495	-163.35402	587.9265	0.01482647	224000	-0.100037135
57	-13.80449	2.309711	13.572731	23.06685	125.34115	-210.7157	13.572648	23.067703	122.208626	-203.24992	19.57942	152.77048	305.26495	-163.35402	590.6736	0.014717725	228000	-0.0994499
58	-13.872471	2.3085682	13.642955	22.98867	125.34115	-210.7157	13.642869	22.989561	122.208626	-203.24992	22.358025	154.3084	308.24142	-163.35402	591.83673	0.014622088	232000	-0.09683396
59	-13.929835	2.3056417	13.70275	22.91434	125.34115	-210.7157	13.702664	22.915195	122.208626	-203.24992	25.189615	155.6438	308.24142	-163.35402	594.45844	0.014521709	236000	-0.09500872
