epoch	pi-loss	q-loss	average-q1-values	std-q1-values	max-q1-values	min-q1-values	average-q2-values	std-q2-values	max-q2-values	min-q2-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	entropy-coeff	total-env-interacts	entropy-coeff-loss
1	-21.729677	4.4768124	17.855406	12.372944	56.37906	-11.970284	17.85362	12.376904	56.38171	-13.378886	2.1492996	6.145054	24.565342	-10.300988	20.100502	-14.269916	33.68589	71.6192	-67.511696	173.4	0.3597608	4000	-4.5368953
2	-45.043266	16.442976	40.474045	25.984179	115.83297	-37.557106	40.47275	25.976366	118.43505	-41.748756	8.459592	42.270557	412.48972	-10.300988	26.058632	21.427052	68.69347	239.44539	-67.511696	137.65	0.20814498	8000	-2.5293822
3	-57.688225	23.286386	53.663193	29.061398	129.6419	-54.27613	53.662354	29.052322	129.90831	-43.161053	17.53505	62.16055	463.82675	-33.584446	36.144577	73.883934	95.72841	255.1452	-67.511696	126.666664	0.14859056	12000	-1.7043524
4	-65.12405	28.744545	61.481388	29.570047	138.99626	-54.27613	61.480347	29.564613	138.12753	-45.683773	26.961382	73.41678	463.82675	-33.584446	44.692738	109.01085	133.06339	473.38055	-67.511696	144.625	0.12071989	16000	-1.2502686
5	-70.39971	31.657803	67.07764	29.73465	138.99626	-79.14607	67.076584	29.731274	138.12753	-65.96554	35.171017	82.61967	463.82675	-51.22488	51.94805	139.36632	137.59537	473.38055	-67.511696	149.56	0.104431406	20000	-0.98438287
6	-73.95004	33.688248	70.90439	29.642574	143.60324	-82.771736	70.903534	29.638754	139.76923	-79.87355	43.473133	89.94531	463.82675	-51.22488	59.1133	158.5228	135.69997	473.38055	-67.511696	149.3	0.09363365	24000	-0.81681687
7	-76.365585	34.784996	73.55591	29.296568	143.60324	-82.771736	73.55536	29.292377	141.91171	-80.47426	51.56379	97.42473	478.36627	-51.22488	65.11628	167.47374	134.4171	473.38055	-67.511696	149.78572	0.08560751	28000	-0.7033464
8	-78.030266	35.374928	75.42475	28.877796	143.60324	-82.771736	75.424385	28.873007	141.91171	-80.47426	61.040974	105.5912	478.36627	-51.22488	70.17544	190.49033	148.30971	621.1006	-67.511696	162.3125	0.07926663	32000	-0.61069196
9	-79.359886	35.688957	76.92207	28.568007	145.33638	-82.771736	76.921974	28.561592	144.9614	-80.47426	69.98885	112.26189	478.36627	-51.22488	74.6888	207.07956	148.88518	621.1006	-67.511696	163.74445	0.07476678	36000	-0.5423236
10	-80.527596	35.943707	78.22964	28.423222	149.5822	-82.771736	78.229706	28.414936	148.52742	-80.47426	76.62514	116.94592	478.36627	-51.22488	79.681274	219.45677	153.40154	621.1006	-67.511696	176.52	0.07097208	40000	-0.48479778
11	-81.660805	36.479797	79.478065	28.499628	162.2923	-82.771736	79.478294	28.490591	165.34618	-80.47426	86.03908	125.616516	541.2923	-51.22488	83.01887	222.52129	149.74112	621.1006	-67.511696	171.90909	0.068133816	44000	-0.435675
12	-82.84238	36.93402	80.75414	28.784584	174.72069	-82.771736	80.75448	28.774813	174.10646	-80.47426	95.61837	131.96964	611.3792	-51.22488	85.71429	230.20406	148.38568	621.1006	-67.511696	172.45833	0.066319816	48000	-0.39692354
13	-84.20113	37.274822	82.18429	29.296396	174.72069	-262.5558	82.184685	29.286507	174.10646	-226.98796	100.89233	135.66872	611.3792	-51.22488	89.193825	235.85333	144.5085	621.1006	-67.511696	170.79231	0.065104954	52000	-0.35998577
14	-85.71657	37.896114	83.76115	30.03141	174.72069	-262.5558	83.76161	30.022058	174.10646	-226.98796	106.63462	142.29706	685.7118	-51.22488	93.023254	232.58696	161.01857	1023.2071	-67.511696	174.1	0.0642698	56000	-0.33228588
15	-87.11875	38.523506	85.22444	30.716372	174.72069	-262.5558	85.22494	30.707388	174.10646	-226.98796	114.180466	148.45966	685.7118	-163.07715	96.15385	244.49374	169.9941	1023.2071	-67.511696	180.84666	0.063626096	60000	-0.3096558
16	-88.44744	39.002655	86.61211	31.32448	174.72069	-262.5558	86.612564	31.31618	174.10646	-226.98796	121.95755	158.65152	950.6763	-163.07715	99.37888	246.47281	175.088	1023.2071	-67.511696	182.93124	0.06304796	64000	-0.2894045
17	-89.70387	39.520767	87.92473	31.89772	177.61554	-262.5558	87.92515	31.889975	177.87677	-226.98796	127.6863	162.59856	950.6763	-163.07715	102.25564	254.47066	182.22273	1023.2071	-67.511696	185.12941	0.06253519	68000	-0.27136242
18	-90.94003	40.060234	89.209496	32.464485	182.00589	-262.5558	89.20987	32.457188	177.87677	-226.98796	134.62852	170.91107	950.6763	-163.07715	105.571846	260.71143	183.24634	1023.2071	-67.511696	188.68333	0.062147804	72000	-0.25709262
19	-92.133804	40.487377	90.44901	33.003365	186.17007	-262.5558	90.44939	32.996597	183.6953	-226.98796	142.15518	181.53992	1326.3394	-163.07715	108.88252	279.93805	200.99567	1027.0302	-67.511696	194.05789	0.061746806	76000	-0.24187797
20	-93.271996	40.674664	91.63238	33.460903	187.70238	-262.5558	91.63273	33.454746	185.27826	-226.98796	148.74196	184.53506	1326.3394	-163.07715	111.26565	278.75623	197.68912	1027.0302	-67.511696	191.59	0.061313633	80000	-0.23130478
21	-94.34097	40.79289	92.74429	33.84968	191.1207	-262.5558	92.74456	33.84389	189.40942	-226.98796	154.36874	186.20097	1326.3394	-163.07715	113.51351	284.9426	201.25626	1027.0302	-67.511696	192.94286	0.060931496	84000	-0.2210401
22	-95.327774	40.856834	93.77298	34.18616	191.1207	-262.5558	93.77317	34.180984	189.40942	-226.98796	159.4691	188.44673	1326.3394	-163.07715	114.88251	293.90717	206.6863	1027.0302	-67.511696	197.22728	0.060450718	88000	-0.21247368
23	-96.24884	40.95701	94.73185	34.49865	191.1207	-262.5558	94.73198	34.49406	189.95757	-226.98796	166.92163	195.5684	1326.3394	-163.07715	117.64706	297.8905	203.6945	1027.0302	-67.511696	195.54347	0.059983406	92000	-0.20156886
24	-97.1353	41.00589	95.65468	34.790268	192.44276	-262.5558	95.654755	34.786144	192.86082	-226.98796	174.11026	204.3644	1440.819	-163.07715	120.150185	307.15488	207.09045	1027.0302	-67.511696	196.41667	0.059622284	96000	-0.19246955
25	-97.996475	41.01358	96.55089	35.065727	196.38051	-262.5558	96.55092	35.06193	194.46901	-226.98796	181.08957	210.03362	1440.819	-163.07715	122.54902	313.551	209.68776	1027.0302	-67.511696	196.908	0.05929349	100000	-0.18532301
26	-98.83153	41.03423	97.41908	35.330624	197.76929	-262.5558	97.419106	35.327156	199.73691	-226.98796	186.74757	214.8926	1440.819	-163.07715	124.25329	317.52045	213.41577	1027.0302	-67.511696	196.77692	0.058972616	104000	-0.17829527
