epoch	pi-loss	q-loss	average-q1-values	std-q1-values	max-q1-values	min-q1-values	average-q2-values	std-q2-values	max-q2-values	min-q2-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	average-test-episode-return	std-test-episode-return	max-test-episode-return	min-test-episode-return	test-episode-length	entropy-coeff	total-env-interacts	entropy-coeff-loss
1	-12.875578	1.2302842	11.536555	3.3719332	24.701265	-0.49475557	11.538162	3.369161	24.736609	-0.45620608	-188.39844	33.08304	-146.25237	-239.03526	1000.0	-572.5708	160.9828	-284.26874	-756.79144	1000.0	0.3166206	4000	-11.813423
2	-16.832891	1.7816415	15.7868805	5.841668	41.765503	-0.49475557	15.787461	5.839654	41.14945	-0.45620608	-221.81364	79.21564	-114.44509	-368.16916	1000.0	-487.35864	148.82913	-264.676	-756.79144	1000.0	0.15665798	8000	-7.2872663
3	-18.36274	2.0800376	17.580269	7.671589	53.933426	-0.49475557	17.58074	7.6703963	52.804283	-0.45620608	-153.50879	158.19514	165.5498	-368.16916	1000.0	-232.8235	380.84714	367.8798	-756.79144	1000.0	0.10346805	12000	-5.002916
4	-19.417828	2.2910314	18.757732	9.332537	65.21714	-3.222783	18.75807	9.332337	63.95706	-2.858029	12.477245	387.1098	1033.8108	-368.16916	1000.0	82.69525	643.8553	1169.8627	-756.79144	1000.0	0.078926615	16000	-3.6146321
5	-21.332182	2.5922647	20.733938	12.071927	80.40477	-6.2730293	20.734201	12.071432	79.6251	-6.98576	257.23383	603.2339	1481.966	-368.16916	1000.0	366.3484	878.7303	2051.7317	-776.60815	1000.0	0.065912604	20000	-2.8103468
6	-24.604176	3.1022143	24.040903	16.223114	98.82581	-8.713235	24.041119	16.222437	98.98051	-9.443182	535.568	835.2855	2191.9697	-368.16916	1000.0	686.171	1075.5303	2550.4656	-776.60815	1000.0	0.058676288	24000	-2.279237
7	-29.363092	3.7894433	28.809065	22.059492	132.64793	-10.967778	28.809135	22.058714	131.535	-10.084358	806.21686	1019.77783	2578.9417	-368.16916	1000.0	963.55444	1205.8387	2736.4534	-776.60815	1000.0	0.055316348	28000	-1.9192917
8	-35.48999	4.537065	34.940483	29.15081	152.96945	-10.967778	34.940445	29.150005	153.95071	-10.084358	1049.1862	1152.1586	2987.178	-368.16916	1000.0	1206.6431	1298.698	2990.3262	-776.60815	1000.0	0.053876758	32000	-1.6626753
9	-42.61848	5.295501	42.075546	36.76356	179.32195	-11.438604	42.07544	36.762764	180.60802	-10.250969	1266.2515	1249.1786	3225.1838	-368.16916	1000.0	1427.2852	1374.6187	3320.9644	-776.60815	1000.0	0.05374114	36000	-1.4667643
10	-50.437016	6.051527	49.901592	44.494953	207.05171	-11.438604	49.901463	44.49421	206.3392	-10.250969	1483.7817	1353.4785	3577.6235	-368.16916	1000.0	1636.6932	1447.797	3659.0625	-776.60815	1000.0	0.05431543	40000	-1.3134899
