epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	kl	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	-0.06340967	1067.4353	-4.755787	0.8640653	-0.17752819	-6.196855	0.0047848155	-369.37552	45.5637	-292.44537	-411.61597	1000.0	4000
2	-0.06217035	917.1508	-7.1756215	2.5039184	-0.17752819	-9.806065	0.004837109	-347.0703	50.492744	-264.01025	-411.61597	1000.0	8000
3	-0.06338345	786.5472	-8.976604	3.2664459	-0.17752819	-12.653882	0.0048056343	-341.94507	48.469418	-264.01025	-411.61597	1000.0	12000
4	-0.063989386	635.44385	-10.221021	3.5566816	-0.17752819	-14.012758	0.0048012105	-311.9822	68.40907	-173.12946	-411.61597	1000.0	16000
5	-0.06392375	538.35486	-10.795959	3.5145724	10.206387	-14.012758	0.0047668265	-275.59796	97.14149	-76.29889	-411.61597	1000.0	20000
6	-0.064385906	487.8953	-11.435767	3.5816407	10.206387	-15.0821085	0.004685302	-266.8299	97.73382	-76.29889	-411.61597	1000.0	24000
7	-0.06493719	440.63608	-11.947325	3.6006303	10.206387	-15.526447	0.0046144268	-254.85727	95.740845	-76.29889	-411.61597	1000.0	28000
8	-0.06520568	399.9952	-11.412877	4.2007065	14.102911	-15.526447	0.0045773145	-232.97122	107.43076	-42.427402	-411.61597	1000.0	32000
9	-0.0661287	371.25305	-11.102544	4.674676	14.102911	-15.526447	0.004583825	-218.38058	111.3484	-21.842794	-411.61597	1000.0	36000
10	-0.06587018	345.6892	-10.827045	4.8308935	14.102911	-15.526447	0.0045328015	-206.121	112.17575	-21.842794	-411.61597	1000.0	40000
11	-0.066261835	323.39523	-10.85098	4.936662	14.102911	-15.538197	0.0044800704	-198.3473	110.37302	-21.842794	-411.61597	1000.0	44000
12	-0.0665477	303.46848	-11.024325	4.960904	14.102911	-15.99803	0.004482065	-194.23242	106.64674	-21.842794	-411.61597	1000.0	48000
13	-0.06699615	288.45187	-10.7477455	5.799983	15.792653	-16.255169	0.00449539	-184.88625	108.400536	-15.681414	-411.61597	1000.0	52000
14	-0.06714221	281.2634	-10.1113615	7.2153835	16.74839	-17.103256	0.004501447	-174.22086	116.96523	161.93457	-411.61597	1000.0	56000
15	-0.06784398	274.43768	-9.211736	8.791137	17.697685	-18.040482	0.0045094085	-159.25496	135.81117	257.88354	-411.61597	1000.0	60000
16	-0.067985594	265.8003	-8.809149	9.365882	17.697685	-18.040482	0.004509803	-151.08841	139.60278	257.88354	-411.61597	1000.0	64000
17	-0.06818514	257.9261	-8.1612015	10.027871	17.697685	-18.040482	0.004505079	-138.83812	146.14082	257.88354	-411.61597	1000.0	68000
18	-0.06850346	255.94266	-7.437027	11.104681	19.701014	-19.863691	0.0045181	-122.58744	162.18164	348.11374	-411.61597	1000.0	72000
19	-0.06838003	254.87439	-6.461774	12.229764	21.262152	-21.35284	0.0045372793	-108.451225	172.41125	348.11374	-411.61597	1000.0	76000
20	-0.06840083	247.34795	-5.5784326	13.003915	21.262152	-21.35284	0.004531325	-95.53203	177.7871	348.11374	-411.61597	1000.0	80000
21	-0.06895055	240.45113	-5.3487716	13.40782	21.262152	-21.35284	0.004547768	-89.03548	176.73169	348.11374	-411.61597	1000.0	84000
22	-0.068952136	242.39479	-5.019293	13.874676	23.372252	-21.35284	0.0045438036	-79.27473	179.21408	348.11374	-411.61597	1000.0	88000
23	-0.06956173	241.73094	-4.3264227	14.528342	26.315422	-21.35284	0.004571455	-66.389046	190.38225	430.36234	-411.61597	1000.0	92000
24	-0.06974239	242.76286	-3.404472	15.383987	29.232782	-27.505087	0.0045605316	-52.564224	200.00916	433.4642	-411.61597	1000.0	96000
25	-0.06996646	245.27785	-2.4430392	16.3036	32.39379	-27.527832	0.004586014	-38.175674	212.69868	520.53894	-411.61597	1000.0	100000
26	-0.0702009	246.0693	-1.8234407	16.829138	32.39379	-30.720842	0.0046064174	-30.219967	214.10612	520.53894	-411.61597	1000.0	104000
27	-0.07066862	248.57687	-0.9322898	17.65704	35.359272	-30.720842	0.004619489	-16.887608	224.72746	535.4911	-411.61597	1000.0	108000
28	-0.070885405	249.01553	0.22085285	18.594406	37.218536	-30.720842	0.004623957	-3.227345	232.13441	535.4911	-411.61597	1000.0	112000
29	-0.07101839	247.13687	1.0927702	19.310389	38.920315	-30.720842	0.004635034	8.025106	237.71556	535.4911	-411.61597	1000.0	116000
30	-0.07129541	251.24225	2.1520095	20.186272	41.90395	-30.720842	0.004645225	21.456787	246.37498	540.3301	-411.61597	1000.0	120000
31	-0.07157048	254.87859	3.2801163	21.145258	46.0354	-30.720842	0.0046682125	37.397266	258.4952	645.59515	-411.61597	1000.0	124000
32	-0.0717158	264.74066	4.5727067	22.243818	50.519917	-30.720842	0.004681209	54.52471	271.83057	661.862	-411.61597	1000.0	128000
33	-0.07179656	269.83517	6.100906	23.54849	55.051617	-30.720842	0.0046997196	74.18873	289.99423	786.4064	-411.61597	1000.0	132000
