epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	kl	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	-0.051120125	223.87827	2.836239	2.523922	5.355855	-4.690865	0.008811326	18.433779	20.730694	121.8408	4.0387907	35.727272	4000
2	-0.041527495	661.48914	5.438471	4.2579293	9.638208	-9.4050255	0.008689519	32.243977	36.45859	192.7454	4.0387907	42.85246	8000
3	-0.038573656	838.24634	8.04949	5.121946	13.410475	-11.561751	0.008226197	44.489895	40.388466	192.7454	4.0387907	45.891052	12000
4	-0.03385029	1050.2556	10.300977	5.906218	17.05926	-11.561751	0.0075509935	53.956913	43.09966	261.4917	4.0387907	47.849693	16000
5	-0.03309127	1266.9558	12.3369875	6.693688	20.577024	-11.561751	0.0076172454	62.06495	47.34136	261.4917	4.0387907	49.789204	20000
6	-0.03258614	1645.2587	14.377872	7.6265306	24.583332	-11.561751	0.007663606	71.80047	55.726795	263.11826	4.0387907	52.76818	24000
7	-0.032458644	1980.1046	16.38473	8.603468	28.426613	-11.561751	0.007692695	80.92109	62.51776	263.11826	4.0387907	55.48148	28000
8	-0.032287434	2297.3577	18.36355	9.600904	32.215675	-11.561751	0.0076118032	90.136566	69.09648	263.11826	4.0387907	58.590477	32000
9	-0.03093842	2498.576	20.275576	10.544294	35.572006	-11.561751	0.007587241	98.21065	73.144806	263.11826	4.0387907	61.113075	36000
10	-0.029955368	2674.0598	22.129158	11.444904	38.811592	-11.561751	0.007478354	105.654465	76.48095	263.11826	4.0387907	63.466114	40000
11	-0.029007403	2783.9119	23.91649	12.289168	41.790024	-11.561751	0.0073847366	112.10856	78.74868	263.11826	4.0387907	65.60964	44000
12	-0.027984256	2841.3918	25.629147	13.065345	44.46844	-11.561751	0.00725893	117.54749	80.23202	265.41992	4.0387907	67.469894	48000
13	-0.027363535	2894.048	27.282717	13.797969	47.125786	-11.561751	0.0072241095	122.95391	81.678055	265.41992	4.0387907	69.387726	52000
14	-0.027046522	2936.4102	28.888275	14.501609	49.760647	-11.561751	0.0072230333	127.68709	82.46861	265.41992	4.0387907	70.908485	56000
15	-0.026643373	2958.7644	30.446844	15.175137	52.266895	-11.561751	0.0071558375	132.14323	83.015396	265.41992	4.0387907	72.3287	60000
16	-0.02632438	2972.3447	31.961615	15.821186	54.683273	-11.561751	0.0071462383	136.30193	83.31918	265.41992	4.0387907	73.56506	64000
17	-0.025779044	2975.2405	33.436234	16.44317	57.03025	-11.561751	0.0070761987	140.0035	83.397705	265.41992	4.0387907	74.7301	68000
18	-0.025432624	2957.8428	34.863445	17.02893	59.12607	-11.561751	0.0070887655	143.25455	83.198364	265.41992	4.0387907	75.71413	72000
19	-0.02549678	2933.5261	36.24538	17.581179	61.12039	-11.561751	0.0071048564	146.26305	82.86425	265.41992	4.0387907	76.62646	76000
20	-0.02525189	2908.8706	37.58625	18.105345	63.062782	-11.561751	0.0070635392	149.07095	82.53419	265.41992	4.0387907	77.481705	80000
21	-0.02541042	2894.7046	38.89898	18.61878	65.153625	-11.561751	0.007079807	151.77705	82.23054	265.41992	4.0387907	78.29579	84000
22	-0.025153155	2878.223	40.186996	19.124344	67.23542	-11.561751	0.0070165056	154.45528	82.01134	265.41992	4.0387907	79.08507	88000
23	-0.025002068	2848.1956	41.440224	19.605902	69.01122	-11.561751	0.0069848797	156.85066	81.5937	265.41992	4.0387907	79.76138	92000
24	-0.024880676	2832.995	42.67323	20.08338	71.03243	-11.561751	0.0069367923	159.29378	81.40134	272.19675	4.0387907	80.448456	96000
25	-0.025093403	2810.4844	43.883636	20.551651	72.933395	-11.561751	0.006947975	161.54599	81.09142	272.19675	4.0387907	81.10324	100000
26	-0.025070144	2781.063	45.064865	21.000189	74.595634	-11.561751	0.0069468743	163.59702	80.63035	272.19675	4.0387907	81.72066	104000
27	-0.024947202	2754.2214	46.21843	21.430655	76.21122	-11.561751	0.0069236215	165.58044	80.15453	272.19675	4.0387907	82.283424	108000
28	-0.024975508	2722.605	47.3411	21.838053	77.65308	-11.561751	0.0069022593	167.36548	79.62655	272.19675	4.0387907	82.7564	112000
29	-0.025001267	2693.4866	48.43592	22.226507	79.09102	-11.561751	0.006894643	169.05902	79.069336	272.19675	4.0387907	83.22967	116000
30	-0.024950676	2669.2417	49.509693	22.60502	80.6491	-11.561751	0.0068631857	170.71788	78.653534	272.19675	4.0387907	83.71136	120000
31	-0.025058456	2643.589	50.560104	22.969645	82.07255	-11.561751	0.0068666716	172.26279	78.20298	274.4519	4.0387907	84.178314	124000
32	-0.025166057	2620.5112	51.59026	23.324121	83.52505	-11.561751	0.00687714	173.83727	77.87118	295.1585	4.0387907	84.64003	128000
33	-0.025150768	2599.2385	52.601597	23.669798	84.96455	-11.561751	0.0068248636	175.29869	77.57399	295.1585	4.0387907	85.047424	132000
34	-0.025164604	2580.8074	53.593964	24.005806	86.34187	-11.561751	0.0068268455	176.73448	77.38027	298.33566	4.0387907	85.45605	136000
35	-0.025242636	2573.4365	54.583035	24.353127	88.211586	-11.561751	0.006808693	178.63829	77.61938	325.56732	4.0387907	85.981926	140000
