epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	kl	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	-0.061824165	1202.5096	-4.581717	0.82655525	0.44052523	-6.0760484	0.004540658	-375.3581	62.931694	-304.3311	-439.60507	1000.0	4000
2	-0.06204114	964.2859	-7.1881886	2.6758845	0.44052523	-9.961822	0.004521567	-364.8537	51.72279	-304.3311	-439.60507	1000.0	8000
3	-0.06396727	870.94415	-9.034113	3.404697	0.44052523	-12.797977	0.0045783925	-361.09558	74.997025	-233.12218	-524.2407	1000.0	12000
4	-0.06560543	751.3889	-10.361833	3.7401795	0.44052523	-14.419013	0.004683194	-338.38776	91.18264	-117.31245	-524.2407	1000.0	16000
5	-0.06525107	632.03235	-11.119567	3.7557669	8.602945	-14.743364	0.004638251	-302.90958	109.15556	-117.31245	-524.2407	1000.0	20000
6	-0.06544047	548.33014	-11.7419195	3.708077	8.602945	-15.075441	0.0046701753	-284.08798	109.99753	-115.841354	-524.2407	1000.0	24000
7	-0.066541426	505.11996	-12.142788	3.680544	12.495091	-15.381933	0.0046393643	-267.3034	111.5854	-104.75059	-524.2407	1000.0	28000
8	-0.066871494	463.9779	-12.045265	3.8882966	13.6922655	-15.381933	0.004593149	-246.76376	118.43116	-39.30404	-524.2407	1000.0	32000
9	-0.06635989	433.57043	-11.771093	4.3639235	14.346385	-15.502233	0.0045236754	-234.4616	120.7299	12.943181	-524.2407	1000.0	36000
10	-0.06637631	401.27136	-11.679918	4.502196	14.375916	-15.58444	0.004525573	-222.4497	122.81249	12.943181	-524.2407	1000.0	40000
11	-0.06671826	373.46777	-10.641809	5.808932	14.801871	-15.58444	0.004540938	-201.90382	134.42563	58.438675	-524.2407	1000.0	44000
12	-0.066941254	351.23215	-10.011011	6.6674066	15.485302	-15.836742	0.00452077	-188.51965	139.35272	108.55461	-524.2407	1000.0	48000
13	-0.06708716	335.33963	-9.527333	7.220157	15.485302	-16.140049	0.0045293123	-177.04941	140.42154	108.55461	-524.2407	1000.0	52000
14	-0.06752358	319.94608	-8.8523855	8.5136385	16.88833	-17.247831	0.004533359	-165.08534	144.18652	141.37576	-524.2407	1000.0	56000
