epoch	pi-loss	v-loss	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	-0.026473135	886.6177	-299.11942	122.274666	-146.30664	-438.07037	1000.0	4000
2	-0.019854188	841.792	-329.90616	109.214714	-146.30664	-502.00964	1000.0	8000
3	-0.013428588	727.6397	-315.3595	95.10796	-146.30664	-502.00964	1000.0	12000
4	-0.02078918	615.287	-300.38647	93.9977	-146.30664	-502.00964	1000.0	16000
5	-0.017586064	558.66736	-296.36606	84.63948	-146.30664	-502.00964	1000.0	20000
6	-0.013289909	532.3051	-293.48993	81.30848	-146.30664	-502.00964	1000.0	24000
7	-0.019785034	493.00912	-292.54718	76.73126	-146.30664	-502.00964	1000.0	28000
8	-0.018913474	457.90594	-282.88504	78.76658	-136.97707	-502.00964	1000.0	32000
9	-0.018142572	431.07922	-281.90067	75.398094	-136.97707	-502.00964	1000.0	36000
10	-0.023519812	407.99258	-280.5757	73.44899	-136.97707	-502.00964	1000.0	40000
11	-0.022667082	381.48148	-277.7808	71.46042	-136.97707	-502.00964	1000.0	44000
12	-0.025040329	359.28674	-274.28098	69.85786	-136.97707	-502.00964	1000.0	48000
13	-0.022500047	339.75775	-267.78305	72.49311	-111.74854	-502.00964	1000.0	52000
14	-0.021015022	327.89264	-265.71594	70.347885	-111.74854	-502.00964	1000.0	56000
15	-0.024075031	314.5845	-260.43298	71.95101	-111.725784	-502.00964	1000.0	60000
16	-0.023972604	309.82697	-262.7561	71.232704	-111.725784	-502.00964	1000.0	64000
17	-0.023743054	302.0046	-261.99374	69.90749	-111.725784	-502.00964	1000.0	68000
18	-0.023436539	296.26697	-263.43198	68.605	-111.725784	-502.00964	1000.0	72000
19	-0.023021761	292.66995	-263.24564	67.863304	-111.725784	-502.00964	1000.0	76000
20	-0.024260318	284.0916	-260.1412	68.64781	-108.000565	-502.00964	1000.0	80000
21	-0.02415824	274.2968	-259.83685	67.05158	-108.000565	-502.00964	1000.0	84000
22	-0.024999727	268.16016	-259.22327	66.58476	-108.000565	-502.00964	1000.0	88000
23	-0.027340895	262.3257	-258.83954	66.119095	-108.000565	-502.00964	1000.0	92000
24	-0.027696967	260.17093	-257.3345	66.86561	-108.000565	-502.00964	1000.0	96000
25	-0.026515597	256.03226	-255.83861	66.345634	-108.000565	-502.00964	1000.0	100000
26	-0.026210198	249.27933	-254.17108	66.60351	-108.000565	-502.00964	1000.0	104000
27	-0.026382092	246.7311	-254.63707	65.93804	-108.000565	-502.00964	1000.0	108000
28	-0.02753311	244.67522	-254.99826	65.8618	-108.000565	-502.00964	1000.0	112000
29	-0.026221422	240.065	-254.59486	64.99925	-108.000565	-502.00964	1000.0	116000
30	-0.026852513	238.20126	-254.20493	65.69171	-108.000565	-502.00964	1000.0	120000
31	-0.026585214	233.96918	-253.73491	64.84849	-108.000565	-502.00964	1000.0	124000
32	-0.027041342	230.59912	-252.09424	65.16625	-108.000565	-502.00964	1000.0	128000
33	-0.02563693	227.63354	-250.40909	65.02018	-108.000565	-502.00964	1000.0	132000
34	-0.026046118	224.47668	-249.61661	64.25212	-108.000565	-502.00964	1000.0	136000
35	-0.02524931	220.57138	-248.76115	64.64434	-104.17826	-502.00964	1000.0	140000
36	-0.025829263	218.64413	-248.14703	63.866154	-104.17826	-502.00964	1000.0	144000
37	-0.02644829	215.59229	-246.48738	65.515114	-85.21041	-502.00964	1000.0	148000
38	-0.027190475	213.63258	-244.32181	67.26687	-25.680809	-502.00964	1000.0	152000
39	-0.027451824	210.59901	-243.96802	67.21022	-25.680809	-502.00964	1000.0	156000
40	-0.027656864	209.32446	-243.41695	66.50181	-25.680809	-502.00964	1000.0	160000
41	-0.028132217	206.72437	-243.75995	65.90342	-25.680809	-502.00964	1000.0	164000
42	-0.027143737	204.10854	-242.9508	65.567795	-25.680809	-502.00964	1000.0	168000
43	-0.026804522	201.76381	-242.17621	65.06959	-25.680809	-502.00964	1000.0	172000
44	-0.027425097	201.21849	-242.0985	64.64637	-25.680809	-502.00964	1000.0	176000
45	-0.026896458	198.7255	-241.28976	64.355064	-25.680809	-502.00964	1000.0	180000
46	-0.027049093	197.84982	-240.53636	65.2372	-25.680809	-502.00964	1000.0	184000
47	-0.027098833	195.4849	-240.00223	64.69354	-25.680809	-502.00964	1000.0	188000
48	-0.02709312	193.52354	-239.53313	64.733376	-25.680809	-502.00964	1000.0	192000
49	-0.026473386	192.69643	-238.22153	64.8498	-25.680809	-502.00964	1000.0	196000
50	-0.027421866	191.08795	-236.98346	65.753365	-25.680809	-502.00964	1000.0	200000
