epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	-0.03305614	614.8579	-3.9275963	0.855256	0.3840057	-5.228992	-270.41467	57.85903	-233.26208	-370.53915	1000.0	4000
2	-0.040711418	538.6127	-6.37084	2.521881	0.3840057	-8.950877	-273.48993	58.03496	-185.02151	-370.53915	1000.0	8000
3	-0.037904743	412.84708	-7.87647	2.9631886	0.3840057	-10.946383	-253.88136	56.26978	-185.02151	-370.53915	1000.0	12000
4	-0.03425384	395.84558	-9.309576	3.5704038	0.3840057	-13.649685	-257.52957	51.06603	-185.02151	-370.53915	1000.0	16000
5	-0.037411164	367.25375	-10.553407	4.0481586	0.3840057	-15.569234	-255.76372	48.97591	-185.02151	-370.53915	1000.0	20000
6	-0.039035123	354.43503	-11.7154455	4.5179935	0.3840057	-17.560741	-256.65518	45.650173	-185.02151	-370.53915	1000.0	24000
7	-0.03409366	341.23926	-12.818411	4.9795995	0.3840057	-19.464853	-260.56445	47.355072	-185.02151	-370.53915	1000.0	28000
8	-0.034514382	323.20093	-13.77761	5.3163176	4.1315136	-20.659243	-260.45343	46.183445	-185.02151	-370.53915	1000.0	32000
9	-0.03293601	302.56598	-14.217764	5.2964206	6.4450746	-20.659243	-253.0708	49.15178	-154.20284	-370.53915	1000.0	36000
10	-0.030957833	303.33963	-14.961444	5.5025544	6.4450746	-21.846018	-256.9451	55.06205	-154.20284	-377.368	1000.0	40000
11	-0.034707487	295.3357	-15.603277	5.674779	7.540578	-22.860413	-258.34387	56.703964	-154.20284	-379.19504	1000.0	44000
12	-0.033332616	283.6998	-16.25575	5.8532147	7.540578	-23.64843	-260.92526	55.862274	-154.20284	-379.19504	1000.0	48000
13	-0.031434074	275.8294	-16.67189	5.869309	14.3753	-23.64843	-259.17096	59.128048	-96.81663	-379.19504	1000.0	52000
14	-0.03199681	274.10083	-16.786085	5.799861	14.3753	-23.64843	-255.95885	61.61215	-96.81663	-379.19504	1000.0	56000
15	-0.031239295	268.03003	-16.966608	5.72142	14.3753	-23.64843	-253.47621	61.22629	-96.81663	-379.19504	1000.0	60000
16	-0.027749948	268.10483	-17.070745	5.663955	14.3753	-23.64843	-251.64622	65.04681	-96.81663	-384.56485	1000.0	64000
17	-0.026045814	264.86206	-17.247662	5.6609354	14.3753	-23.813362	-250.87138	66.218	-96.81663	-384.56485	1000.0	68000
18	-0.0257313	266.3597	-17.59424	5.749053	14.3753	-25.40492	-253.42255	65.5437	-96.81663	-384.56485	1000.0	72000
19	-0.02827918	267.16684	-17.743132	5.781945	14.3753	-25.747784	-252.67842	65.52885	-96.81663	-384.56485	1000.0	76000
20	-0.027848035	261.70862	-17.9441	5.7771792	14.3753	-25.899878	-252.23482	64.90883	-96.81663	-384.56485	1000.0	80000
21	-0.028074492	257.1753	-18.101963	5.742335	14.3753	-25.993567	-251.6595	64.09089	-96.81663	-384.56485	1000.0	84000
22	-0.028485222	255.25089	-18.38063	5.802355	14.3753	-26.715532	-253.25972	63.257946	-96.81663	-384.56485	1000.0	88000
23	-0.030388728	259.57587	-18.281837	5.909365	22.49292	-26.733112	-250.46338	69.254364	-73.29517	-417.90683	1000.0	92000
24	-0.029372195	257.2175	-18.500301	5.9366174	22.49292	-27.317144	-250.91695	68.43979	-73.29517	-417.90683	1000.0	96000
25	-0.030271368	252.52371	-18.522165	5.885824	22.49292	-27.317144	-249.37125	68.357956	-73.29517	-417.90683	1000.0	100000
26	-0.030082555	251.39236	-18.815722	5.977224	22.49292	-28.115812	-250.8854	69.83883	-73.29517	-417.90683	1000.0	104000
