epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	-0.039494194	279.41302	4.8781314	0.37853318	5.1034427	0.98927313	16.957172	16.513725	159.07536	4.0415444	17.775785	4000
2	-0.028544787	233.59749	6.197337	1.3537855	7.604346	0.98927313	17.43295	15.878921	159.07536	4.0415444	18.176605	8000
3	-0.01576796	308.494	7.4597917	2.439372	10.799807	-7.6055226	19.036919	18.919891	164.6375	4.0415444	19.083334	12000
4	-0.023363456	290.7321	8.183198	3.1479053	13.19664	-7.6055226	19.782936	19.147602	164.6375	4.0415444	19.572311	16000
5	-0.024195388	343.96857	9.316203	4.1696978	16.629007	-7.6055226	21.389544	21.61657	214.4638	4.0415444	20.425774	20000
6	-0.023706816	404.76953	10.537349	5.248298	20.378841	-7.6208396	23.201021	24.353285	214.4638	4.0415444	21.367329	24000
7	-0.023067111	449.87067	11.746063	6.290323	23.630548	-7.85933	24.877983	26.60554	214.4638	4.0415444	22.244158	28000
8	-0.024956746	483.41266	13.066412	7.324745	26.590881	-7.85933	26.508121	28.494925	214.4638	4.0415444	23.101906	32000
9	-0.027105086	516.7677	14.358902	8.298981	29.684366	-7.85933	28.20547	30.468002	214.62857	4.0415444	23.951286	36000
10	-0.027667109	559.4037	15.932766	9.462574	33.056324	-15.745157	30.177616	32.75867	219.30672	4.0415444	24.91365	40000
11	-0.030783318	584.5237	17.438818	10.459556	35.630466	-15.745157	32.046963	34.583942	244.10915	4.0415444	25.82286	44000
12	-0.032101598	593.51996	18.822973	11.300261	37.936665	-15.745157	33.94466	36.02853	244.10915	4.0415444	26.751991	48000
13	-0.034209058	628.977	20.36496	12.262189	41.168488	-15.745157	36.07956	38.286842	244.10915	4.0415444	27.76583	52000
14	-0.032132186	638.88605	21.690857	12.99045	42.981483	-15.745157	37.765976	39.499954	244.10915	4.0415444	28.568596	56000
15	-0.030923339	669.7585	23.122662	13.800558	45.829777	-15.745157	39.711308	41.4111	245.99394	4.0415444	29.421686	60000
16	-0.029309927	693.3633	24.550354	14.575139	48.32871	-15.745157	41.664013	43.214367	245.99394	4.0415444	30.292778	64000
17	-0.029758874	683.12946	25.523848	14.920676	49.225906	-15.745157	43.164963	43.70698	245.99394	4.0415444	30.962238	68000
18	-0.029370937	687.65704	26.5534	15.290799	51.086494	-15.745157	44.759666	44.638676	245.99394	4.0415444	31.631578	72000
19	-0.028195953	688.3352	27.520382	15.644652	52.97841	-15.745157	46.170338	45.256397	245.99394	4.0415444	32.19974	76000
20	-0.025847694	687.8005	28.447859	15.976475	54.610447	-15.745157	47.587097	45.961655	245.99394	4.0415444	32.80454	80000
21	-0.02294455	685.2202	29.326977	16.297892	56.394196	-15.745157	49.056164	46.685707	245.99394	4.0415444	33.41728	84000
22	-0.021893524	692.8982	30.258505	16.70644	58.221405	-15.745157	50.467846	47.637917	245.99394	4.0415444	34.03089	88000
23	-0.021022325	682.39923	30.967113	16.946478	58.96713	-15.745157	51.56594	47.75331	245.99394	4.0415444	34.501347	92000
24	-0.019932242	678.38055	31.681208	17.201443	60.09799	-15.745157	52.719563	48.177303	245.99394	4.0415444	34.995514	96000
25	-0.018172044	677.71375	32.430866	17.522562	61.998413	-15.745157	53.955032	48.801456	245.99394	4.0415444	35.499817	100000
26	-0.018629326	675.5336	33.103046	17.790686	62.85257	-15.745157	54.99121	49.179585	245.99394	4.0415444	35.949253	104000
27	-0.018577937	673.0417	33.74141	18.05558	63.950466	-15.745157	56.003162	49.43788	245.99394	4.0415444	36.360085	108000
28	-0.018732583	671.16547	34.362057	18.314238	64.97157	-15.745157	56.97688	49.80297	245.99394	4.0415444	36.76822	112000
29	-0.018442603	669.8001	34.988255	18.582153	66.28	-15.745157	57.980106	50.25803	245.99394	4.0415444	37.21075	116000
30	-0.016706575	671.3038	35.57301	18.795942	67.36915	-15.745157	58.92983	50.671806	245.99394	4.0415444	37.609215	120000
31	-0.016840134	671.4715	36.17706	19.062784	68.79033	-15.745157	59.961308	51.160534	245.99394	4.0415444	38.05205	124000
32	-0.01685168	670.6338	36.796043	19.355968	70.781296	-15.745157	61.03597	51.724968	245.99394	4.0415444	38.508816	128000
33	-0.016766518	668.58417	37.39312	19.646008	71.95167	-15.745157	62.0682	52.21226	245.99394	4.0415444	38.962074	132000
34	-0.01663075	668.9087	37.966713	19.90127	73.130615	-15.745157	63.03302	52.6783	245.99394	4.0415444	39.35912	136000
35	-0.017479248	667.055	38.506485	20.124702	73.96052	-15.745157	63.926266	52.978878	245.99394	4.0415444	39.75409	140000
36	-0.016616456	669.1103	39.07633	20.411825	75.233665	-15.745157	64.84592	53.485386	245.99394	4.0415444	40.120056	144000
37	-0.016103525	670.65295	39.688164	20.724829	77.09691	-15.745157	65.88542	54.130444	247.6031	4.0415444	40.569054	148000
38	-0.015457548	670.0919	40.17743	20.947062	77.971985	-15.745157	66.67862	54.4879	247.6031	4.0415444	40.90343	152000
39	-0.0151100615	670.3683	40.700268	21.203299	78.62951	-15.745157	67.52128	54.90098	247.6031	4.0415444	41.26108	156000
