epoch	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	total-env-interacts
1	-357.72977	43.42313	-296.83954	-419.64554	1000.0	-48.89083	1044.9121	-4.606559	0.7671808	0.24117288	-6.0019817	4000
2	-386.35098	26.769903	-342.0506	-409.41278	1000.0	-44.887833	875.2589	-9.968509	0.17188399	-7.148246	-10.098363	8000
3	-441.07608	63.085606	-370.6572	-539.5503	1000.0	-45.248207	1148.6489	-13.424244	0.052700255	-12.835994	-13.467125	12000
4	-364.3024	72.66861	-303.05457	-487.5821	1000.0	-29.17589	528.2005	-15.674648	0.033828128	-15.28942	-15.7029295	16000
5	-380.02368	40.45086	-342.3734	-447.90442	1000.0	-28.365093	589.4539	-17.933151	0.024269119	-17.634169	-17.953903	20000
6	-385.28024	86.86929	-239.77182	-464.12354	1000.0	-25.695217	549.4529	-20.012474	0.048467685	-18.478512	-20.028095	24000
7	-351.4707	81.974	-244.86485	-468.0595	1000.0	-17.670874	379.05096	-21.685709	0.0126276845	-21.525969	-21.696081	28000
8	-266.11572	83.7591	-165.95374	-394.36133	1000.0	-3.9296403	251.65111	-22.246504	0.034614936	-21.285992	-22.261223	32000
9	-408.96124	73.22566	-344.45706	-526.9121	1000.0	-24.679298	573.1343	-24.333055	0.01750072	-24.052736	-24.343544	36000
10	-339.6129	68.152435	-251.02733	-415.9158	1000.0	-10.149297	264.84113	-25.428389	0.020820102	-24.738777	-25.437634	40000
11	-392.2276	51.133698	-312.4076	-455.0157	1000.0	-16.145535	417.68207	-27.045954	0.005178394	-26.982733	-27.05105	44000
12	-373.00647	52.538143	-283.52106	-418.233	1000.0	-10.043072	170.94443	-28.236217	0.0047168103	-28.16671	-28.240955	48000
13	-332.33984	39.560863	-290.978	-372.13025	1000.0	-3.6401324	369.50177	-28.826553	0.0051031895	-28.766977	-28.831503	52000
14	-265.16364	47.5359	-213.42477	-323.41434	1000.0	7.1789947	188.85202	-27.992132	0.04022382	-26.477451	-28.000599	56000
