epoch	pi-loss	v-loss	average-v-values	std-v-values	max-v-values	min-v-values	average-episode-return	std-episode-return	max-episode-return	min-episode-return	episode-length	total-env-interacts
1	0.004455775	832.65063	-4.366831	0.7621639	-0.05984605	-5.5204277	-303.0857	71.28996	-214.04979	-383.41324	1000.0	4000
2	-0.013433233	674.45746	-6.7776604	2.4802074	-0.05984605	-9.329962	-305.55194	51.690228	-214.04979	-383.41324	1000.0	8000
3	-0.02466943	562.14813	-8.233398	2.8899488	-0.05984605	-11.240849	-279.84854	69.68481	-138.90527	-383.41324	1000.0	12000
4	-0.023007419	506.18274	-9.430268	3.251661	-0.05984605	-13.098849	-268.07877	67.89325	-138.90527	-383.41324	1000.0	16000
5	-0.025368165	452.0987	-10.425731	3.616848	8.894876	-14.835541	-262.6432	72.77355	-134.45851	-383.41324	1000.0	20000
6	-0.033131797	403.7756	-11.191374	3.755106	8.894876	-15.362203	-249.93591	77.32425	-93.55555	-383.41324	1000.0	24000
7	-0.033680897	378.874	-11.88649	3.9134574	8.894876	-16.521454	-248.49788	74.45669	-93.55555	-383.41324	1000.0	28000
8	-0.035139717	374.6749	-12.464437	4.1763234	15.640304	-17.916826	-246.90494	81.36205	-93.55555	-405.79398	1000.0	32000
9	-0.03138241	354.11548	-13.100755	4.478911	15.640304	-19.604343	-247.30827	81.466354	-93.55555	-405.79398	1000.0	36000
10	-0.034132175	358.08572	-13.876178	4.8857846	15.640304	-21.41963	-252.70854	86.76642	-93.55555	-434.0274	1000.0	40000
11	-0.03635167	356.95584	-14.665102	5.3160987	21.720531	-22.863173	-258.43768	88.96723	-93.55555	-466.48114	1000.0	44000
12	-0.032501627	342.7822	-15.098117	5.4162345	21.720531	-22.863173	-253.61804	87.58532	-93.55555	-466.48114	1000.0	48000
13	-0.034122422	347.6033	-15.676996	5.6137705	21.720531	-23.469437	-256.16086	87.293015	-93.55555	-466.48114	1000.0	52000
14	-0.035105836	339.80658	-16.015104	5.6727924	21.720531	-23.58149	-254.67061	85.664894	-93.55555	-466.48114	1000.0	56000
15	-0.033644132	334.22818	-16.294842	5.69852	21.720531	-23.82169	-252.8686	85.405495	-93.55555	-466.48114	1000.0	60000
16	-0.03277532	324.61963	-16.62449	5.75334	21.720531	-24.605192	-252.52098	84.472664	-93.55555	-466.48114	1000.0	64000
17	-0.03560593	319.20422	-16.86952	5.7657604	21.720531	-24.862825	-251.37529	84.97648	-93.55555	-466.48114	1000.0	68000
18	-0.035076085	315.85168	-17.074749	5.817107	21.720531	-25.110317	-250.13034	83.14753	-93.55555	-466.48114	1000.0	72000
19	-0.036856163	307.70297	-17.429188	5.8768187	21.720531	-25.340147	-250.74854	81.87507	-93.55555	-466.48114	1000.0	76000
20	-0.035748087	298.21082	-17.483904	5.861719	21.720531	-25.340147	-248.47705	81.18122	-93.55555	-466.48114	1000.0	80000
21	-0.036198206	296.16638	-17.89118	6.0104756	21.720531	-26.76232	-251.09802	80.63208	-93.55555	-466.48114	1000.0	84000
22	-0.037190765	289.8037	-18.044006	5.99327	21.720531	-26.76232	-250.09961	79.84514	-93.55555	-466.48114	1000.0	88000
23	-0.03617344	284.81378	-18.104242	5.9410386	21.720531	-26.76232	-248.00357	79.32021	-93.55555	-466.48114	1000.0	92000
24	-0.035444956	278.85007	-18.178785	5.959111	21.720531	-26.76232	-246.90564	78.599655	-93.55555	-466.48114	1000.0	96000
25	-0.035066728	276.1386	-18.258743	6.0397477	21.720531	-27.207693	-246.14383	80.10655	-71.19068	-466.48114	1000.0	100000
26	-0.03619874	271.29938	-18.254784	6.051866	21.720531	-27.459679	-245.13126	79.91696	-71.19068	-466.48114	1000.0	104000
27	-0.03671315	267.0384	-18.412165	6.0503	21.720531	-28.131409	-245.28664	78.75537	-71.19068	-466.48114	1000.0	108000
28	-0.036699932	265.4669	-18.43112	6.0317044	21.720531	-28.257475	-243.99373	78.44215	-71.19068	-466.48114	1000.0	112000
29	-0.03529238	261.11896	-18.543331	5.999818	21.720531	-28.257475	-243.80667	77.440735	-71.19068	-466.48114	1000.0	116000
30	-0.034977365	256.96252	-18.691751	6.044483	21.720531	-28.664236	-244.09108	76.51376	-71.19068	-466.48114	1000.0	120000
31	-0.03447826	253.91751	-18.674568	6.0559835	21.720531	-28.664236	-242.75642	76.05338	-71.19068	-466.48114	1000.0	124000
32	-0.03483437	248.99316	-18.66192	6.0565553	21.720531	-28.75194	-241.45914	75.62404	-71.19068	-466.48114	1000.0	128000
33	-0.034487873	243.06224	-18.724936	6.1456647	21.720531	-28.821293	-240.87387	75.84851	-71.19068	-466.48114	1000.0	132000
34	-0.034820866	240.80888	-18.843988	6.1970706	21.720531	-28.980186	-241.21413	75.01865	-71.19068	-466.48114	1000.0	136000
35	-0.03396311	238.69037	-18.948769	6.2169914	21.720531	-29.138218	-241.54846	75.13819	-71.19068	-466.48114	1000.0	140000
36	-0.03383492	234.7995	-18.919626	6.1817355	21.720531	-29.138218	-240.08632	75.568405	-63.810516	-466.48114	1000.0	144000
37	-0.03381803	233.15897	-19.00606	6.1906314	21.720531	-29.155064	-240.53548	75.66272	-63.810516	-466.48114	1000.0	148000
38	-0.032761775	231.12932	-19.104704	6.1864557	21.720531	-29.853094	-240.96497	74.915794	-63.810516	-466.48114	1000.0	152000
39	-0.032716043	227.61945	-19.176159	6.206575	21.720531	-29.984707	-240.64824	74.26445	-63.810516	-466.48114	1000.0	156000
40	-0.031441133	224.53052	-19.130257	6.2094693	21.720531	-29.984707	-239.40828	73.77374	-63.810516	-466.48114	1000.0	160000
41	-0.031972863	222.1031	-19.140085	6.236429	21.720531	-30.120235	-238.81186	73.439766	-63.810516	-466.48114	1000.0	164000
42	-0.03237486	220.32532	-19.230967	6.3028426	21.720531	-30.950441	-239.42694	73.33624	-63.810516	-466.48114	1000.0	168000
43	-0.032426573	217.76422	-19.18539	6.357529	21.720531	-30.950441	-238.16626	73.543625	-63.810516	-466.48114	1000.0	172000
44	-0.03253892	216.26308	-19.282936	6.4243507	21.720531	-31.13503	-238.79756	74.07091	-63.810516	-466.48114	1000.0	176000
45	-0.031114	215.248	-19.284868	6.413952	21.720531	-31.13503	-238.30524	73.658356	-63.810516	-466.48114	1000.0	180000
46	-0.030470962	215.07051	-19.27811	6.4335117	21.720531	-31.27179	-237.32584	73.66866	-63.810516	-466.48114	1000.0	184000
47	-0.0301512	212.61574	-19.251175	6.441641	21.720531	-31.27179	-236.51375	73.9337	-63.810516	-466.48114	1000.0	188000
48	-0.029824859	211.12724	-19.316568	6.441103	21.720531	-31.371387	-236.5855	73.66657	-63.810516	-466.48114	1000.0	192000
49	-0.029510094	209.35655	-19.314354	6.416192	21.720531	-31.371387	-235.95688	73.658714	-63.810516	-466.48114	1000.0	196000
50	-0.029826215	207.94162	-19.365536	6.402582	21.720531	-31.37643	-235.85535	73.040924	-63.810516	-466.48114	1000.0	200000
51	-0.029900158	206.4564	-19.405996	6.385165	21.720531	-31.381695	-235.81107	72.73114	-63.810516	-466.48114	1000.0	204000
52	-0.030000772	205.53404	-19.368288	6.374409	21.720531	-31.381695	-234.83887	72.54147	-63.810516	-466.48114	1000.0	208000
53	-0.030347995	203.59099	-19.294037	6.394906	21.720531	-31.381695	-233.65076	73.42715	-63.810516	-466.48114	1000.0	212000
54	-0.02911028	203.26915	-19.332207	6.375421	21.720531	-31.381695	-233.62698	73.09476	-63.810516	-466.48114	1000.0	216000
55	-0.029228657	201.19603	-19.366497	6.4872727	21.720531	-33.13765	-233.56218	73.26153	-63.810516	-466.48114	1000.0	220000
56	-0.029793564	200.76009	-19.403313	6.4777665	21.720531	-33.13765	-233.54053	73.387955	-63.810516	-466.48114	1000.0	224000
